,E_field,cell,celltype,concentration,date,fMLP,frame,framerate,magnification,material,scope,trial,x,x_corr_x,y,y_corr_x,z,x_corr_y,y_corr_y
0,5.0,0.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,176.2842166569598,0.0,47.718889536012426,0.0,3.07327168801604,0.0,0.0
1,5.0,1.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,180.09155754285104,0.0,97.76429255828809,0.0,7.778777302869733,0.0,0.0
2,5.0,2.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,96.68744652243002,0.0,115.11062217332844,0.0,3.169506967775984,0.0,0.0
3,5.0,3.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,441.9063953639458,0.0,131.4103063849692,0.0,8.67075533351729,0.0,0.0
4,5.0,4.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,410.7068846419525,0.0,204.82001688540947,0.0,3.8412501774353816,0.0,0.0
5,5.0,5.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,450.3839328656484,0.0,216.78358790652933,0.0,19.852673180672188,0.0,0.0
6,5.0,6.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,325.26412404554065,0.0,300.2441072509618,0.0,6.372816147451555,0.0,0.0
7,5.0,7.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,368.29869800166824,0.0,303.96039603960395,0.0,4.033113711708005,0.0,0.0
8,5.0,8.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,380.1980198019802,0.0,301.65016501650166,0.0,4.115551168387678,0.0,0.0
9,5.0,9.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,399.009900990099,0.0,355.2035203520352,0.0,0.8489339805064616,0.0,0.0
10,5.0,10.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,354.4080374888318,0.0,449.98267782579364,0.0,8.095372939315437,0.0,0.0
11,5.0,11.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,69.98762376237623,0.0,515.04400440044,0.0,3.5081702416274076,0.0,0.0
12,5.0,12.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,233.49545480863875,0.0,545.27242197904,0.0,4.640300113577659,0.0,0.0
13,5.0,13.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,422.44224422442244,0.0,555.1970927429821,0.0,4.034653177134207,0.0,0.0
14,5.0,14.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,612.5361373346637,0.0,261.4117225676056,0.0,16.5040996254158,0.0,0.0
15,5.0,15.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,48.89501608388687,0.0,121.05109245101725,0.0,29.737201870697476,0.0,0.0
16,5.0,16.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,666.033819876833,0.0,372.07988840121124,0.0,26.336932055116378,0.0,0.0
17,5.0,17.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,621.7956489526504,0.0,161.0965178150468,0.0,30.63105578690903,0.0,0.0
18,5.0,18.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,402.8172382455637,0.0,254.53675802362847,0.0,34.5243488708676,0.0,0.0
19,5.0,19.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,219.5450079359081,0.0,307.82757665079487,0.0,38.06806597701373,0.0,0.0
20,5.0,20.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,422.3083177883006,0.0,637.5854976802028,0.0,39.2799413755847,0.0,0.0
21,5.0,21.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,449.99545826142247,0.0,338.3292457686136,0.0,41.941959541326014,0.0,0.0
22,5.0,22.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,541.970607317142,0.0,378.90609573777886,0.0,44.99713806477523,0.0,0.0
23,5.0,23.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,226.66516651665165,0.0,497.2922292229223,0.0,52.42550025029427,0.0,0.0
24,5.0,24.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,399.79876036384127,0.0,561.4022377847541,0.0,48.76935979440268,0.0,0.0
25,5.0,25.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,153.40750569902352,0.0,181.49093259841447,0.0,56.780664043395355,0.0,0.0
26,5.0,26.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,250.99170111185873,0.0,322.6120670319459,0.0,59.05177493123261,0.0,0.0
27,5.0,27.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,596.2996299629963,0.0,539.0239023902391,0.0,49.079600413203735,0.0,0.0
28,5.0,28.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,51.46991622239147,0.0,584.9352627570449,0.0,58.88332624705054,0.0,0.0
29,5.0,29.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,656.1176117611761,0.0,494.98949894989494,0.0,61.16650559132359,0.0,0.0
30,5.0,30.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,546.8646864686468,0.0,362.1031068624104,0.0,70.17968474585123,0.0,0.0
31,5.0,31.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,506.21618862917217,0.0,127.37912966554387,0.0,71.59954275378952,0.0,0.0
32,5.0,32.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,366.1198955716467,0.0,289.24683513127434,0.0,74.05593622816065,0.0,0.0
33,5.0,33.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,219.07964381343797,0.0,412.45407559623885,0.0,76.74363683585634,0.0,0.0
34,5.0,34.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,315.2793057083486,0.0,350.73951839628404,0.0,78.25237236871092,0.0,0.0
35,5.0,35.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,322.12177739513083,0.0,467.12584301908447,0.0,78.6165842495239,0.0,0.0
36,5.0,36.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,0,55.05599740301899,0.0,432.4568522426013,0.0,85.0,0.0,0.0
37,5.0,4.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,410.7410741074107,0.0,204.87548754875488,0.0,3.7792282087495916,0.02,0.02
38,5.0,4.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,410.7410741074107,0.0,204.87548754875488,0.0,3.7792282087495916,0.02,0.02
39,5.0,38.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,322.15221522152217,0.0,467.20672067206726,0.0,78.65870709947214,0.02,0.02
40,5.0,38.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,322.15221522152217,0.0,467.20672067206726,0.0,78.65870709947214,0.02,0.02
41,5.0,0.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,176.29135006523907,0.0,47.80873436180828,0.0,3.023651101161363,0.02,0.02
42,5.0,32.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,656.1999057048562,0.0,494.955209806695,0.0,61.06219382410685,0.02,0.02
43,5.0,32.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,656.1999057048562,0.0,494.955209806695,0.0,61.06219382410685,0.02,0.02
44,5.0,11.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,354.51477732042866,0.0,450.05006118589387,0.0,7.943596628965511,0.02,0.02
45,5.0,11.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,354.51477732042866,0.0,450.05006118589387,0.0,7.943596628965511,0.02,0.02
46,5.0,23.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,422.1287128712871,0.0,637.6320132013202,0.0,39.19039569440238,0.02,0.02
47,5.0,23.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,422.1287128712871,0.0,637.6320132013202,0.0,39.19039569440238,0.02,0.02
48,5.0,12.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,70.03874300473525,0.0,515.2460898263739,0.0,3.529669795366143,0.02,0.02
49,5.0,12.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,70.03874300473525,0.0,515.2460898263739,0.0,3.529669795366143,0.02,0.02
50,5.0,13.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,233.52111073176283,0.0,545.459201092523,0.0,4.524427568920442,0.02,0.02
51,5.0,13.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,233.52111073176283,0.0,545.459201092523,0.0,4.524427568920442,0.02,0.02
52,5.0,14.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,422.5945671490226,0.0,555.2750879483552,0.0,3.893751142330051,0.02,0.02
53,5.0,14.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,422.5945671490226,0.0,555.2750879483552,0.0,3.893751142330051,0.02,0.02
54,5.0,1.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,180.146983770542,0.0,97.98237555714334,0.0,7.712983970192736,0.02,0.02
55,5.0,1.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,180.146983770542,0.0,97.98237555714334,0.0,7.712983970192736,0.02,0.02
56,5.0,17.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,48.96417352578631,0.0,121.27718795975983,0.0,29.648744765458225,0.02,0.02
57,5.0,17.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,48.96417352578631,0.0,121.27718795975983,0.0,29.648744765458225,0.02,0.02
58,5.0,24.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,450.10734083117046,0.0,338.299849402416,0.0,41.708813796621165,0.02,0.02
59,5.0,24.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,450.10734083117046,0.0,338.299849402416,0.0,41.708813796621165,0.02,0.02
60,5.0,35.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,366.19596385868095,0.0,289.36860899204675,0.0,74.27788473317806,0.02,0.02
61,5.0,35.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,366.19596385868095,0.0,289.36860899204675,0.0,74.27788473317806,0.02,0.02
62,5.0,29.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,399.98499849985,0.0,561.6561656165617,0.0,48.67103867602478,0.02,0.02
63,5.0,29.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,399.98499849985,0.0,561.6561656165617,0.0,48.67103867602478,0.02,0.02
64,5.0,36.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,314.65946594659465,0.0,350.75307530753076,0.0,78.17713982127368,0.02,0.02
65,5.0,36.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,314.65946594659465,0.0,350.75307530753076,0.0,78.17713982127368,0.02,0.02
66,5.0,7.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,380.2505914308245,0.0,302.2693419784456,0.0,3.976397952547747,0.02,0.02
67,5.0,7.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,380.2505914308245,0.0,302.2693419784456,0.0,3.976397952547747,0.02,0.02
68,5.0,34.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,505.7838283828383,0.0,126.95544554455446,0.0,72.05569266354645,0.02,0.02
69,5.0,34.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,505.7838283828383,0.0,126.95544554455446,0.0,72.05569266354645,0.02,0.02
70,5.0,22.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,218.83388338833885,0.0,306.97469746974696,0.0,37.36297907247372,0.02,0.02
71,5.0,22.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,218.83388338833885,0.0,306.97469746974696,0.0,37.36297907247372,0.02,0.02
72,5.0,30.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,249.73236819480266,0.0,322.08447735529853,0.0,58.64044985784535,0.02,0.02
73,5.0,30.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,249.73236819480266,0.0,322.08447735529853,0.0,58.64044985784535,0.02,0.02
74,5.0,37.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,219.1719171917192,0.0,412.4137413741374,0.0,78.18647133656674,0.02,0.02
75,5.0,37.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,219.1719171917192,0.0,412.4137413741374,0.0,78.18647133656674,0.02,0.02
76,5.0,20.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,623.1086570195481,0.0,160.3960396039604,0.0,30.7369950560177,0.02,0.02
77,5.0,20.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,623.1086570195481,0.0,160.3960396039604,0.0,30.7369950560177,0.02,0.02
78,5.0,28.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,596.078431372549,0.0,539.1833300977156,0.0,47.00670376566962,0.02,0.02
79,5.0,28.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,596.078431372549,0.0,539.1833300977156,0.0,47.00670376566962,0.02,0.02
80,5.0,25.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,541.9508617528419,0.0,377.0199242146437,0.0,46.428023394573984,0.02,0.02
81,5.0,25.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,541.9508617528419,0.0,377.0199242146437,0.0,46.428023394573984,0.02,0.02
82,5.0,9.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,396.42364236423646,0.0,355.7695769576958,0.0,1.5698057873201468,0.02,0.02
83,5.0,9.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,396.42364236423646,0.0,355.7695769576958,0.0,1.5698057873201468,0.02,0.02
84,5.0,27.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,155.14139649259042,0.0,180.27567462628616,0.0,54.52718938434578,0.02,0.02
85,5.0,27.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,155.14139649259042,0.0,180.27567462628616,0.0,54.52718938434578,0.02,0.02
86,5.0,6.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,323.12172393709955,0.0,301.8326538536206,0.0,4.618522161602283,0.02,0.02
87,5.0,6.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,323.12172393709955,0.0,301.8326538536206,0.0,4.618522161602283,0.02,0.02
88,5.0,16.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,609.4224422442244,0.0,259.52695269526953,0.0,17.463097722870952,0.02,0.02
89,5.0,16.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,609.4224422442244,0.0,259.52695269526953,0.0,17.463097722870952,0.02,0.02
90,5.0,18.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,398.4827054133985,0.0,254.47687625905448,0.0,32.79699911560533,0.02,0.02
91,5.0,18.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,398.4827054133985,0.0,254.47687625905448,0.0,32.79699911560533,0.02,0.02
92,5.0,19.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,661.3278974956319,0.0,370.0058241118229,0.0,24.613745980147606,0.02,0.02
93,5.0,19.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,661.3278974956319,0.0,370.0058241118229,0.0,24.613745980147606,0.02,0.02
94,5.0,8.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,0,368.50685068506846,0.0,310.2743607694103,0.0,5.139966051358073,0.02,0.02
