,E_field,cell,celltype,concentration,date,fMLP,frame,framerate,magnification,material,scope,trial,x,x_corr,y,y_corr,z
0,5.0,0.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,46.845272762570374,0.0,55.701805474665115,0.0,9.981534749341206
1,5.0,1.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,634.2872643428726,0.0,54.514218545142185,0.0,2.721168343911077
2,5.0,2.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,550.761046253879,0.0,71.30683217575488,0.0,1.656169584269992
3,5.0,3.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,193.8943894389439,0.0,87.99362694890179,0.0,2.2896729388486743
4,5.0,4.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,392.1565594059406,0.0,104.63593234323432,0.0,3.8992070844415228
5,5.0,5.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,183.03128558469882,0.0,136.1743191863046,0.0,8.202803936361308
6,5.0,6.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,103.72570590392372,0.0,241.33480014668132,0.0,1.116955857460742
7,5.0,7.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,445.00873616773447,0.0,255.39118617744128,0.0,10.882879185950765
8,5.0,8.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,349.0027263595925,0.0,302.5493853733199,0.0,11.801256855917385
9,5.0,9.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,235.5835583558356,0.0,350.5310531053105,0.0,0.0
10,5.0,10.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,542.8834775369429,0.0,377.70047274997773,0.0,3.6489624721652185
11,5.0,11.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,410.2959476275496,0.0,508.4401882811232,0.0,4.484053285642225
12,5.0,12.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,482.37417491749176,0.0,538.4694719471947,0.0,15.830105364251315
13,5.0,13.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,580.9062156215622,0.0,586.7574257425742,0.0,10.245279467634042
14,5.0,14.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,628.1515331020281,0.0,336.013088488336,0.0,32.744661411218075
15,5.0,15.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,565.0547663461998,0.0,36.72454201941933,0.0,19.27674951681227
16,5.0,16.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,85.29454715383042,0.0,22.313735798358596,0.0,27.571991932397566
17,5.0,17.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,270.07321421797354,0.0,181.07810781078106,0.0,31.851368419543242
18,5.0,18.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,398.3585200625326,0.0,425.8641653639048,0.0,31.902777634726295
19,5.0,19.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,388.815211796409,0.0,2.6402640264026402,0.0,32.496200211113766
20,5.0,20.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,380.40902450900825,0.0,145.34437050262403,0.0,32.50386718483237
21,5.0,21.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,323.99196441383265,0.0,205.5388147510403,0.0,36.22735133457005
22,5.0,22.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,502.6737456354331,0.0,574.2335103075525,0.0,30.964136889881573
23,5.0,23.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,194.22442244224422,0.0,617.787041862081,0.0,37.12942845036605
24,5.0,24.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,112.6042941372789,0.0,626.8772944710202,0.0,37.33270430900336
25,5.0,25.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,405.8930217346059,0.0,656.9381262450569,0.0,42.25988273327086
26,5.0,26.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,598.9585625229189,0.0,427.6127612761276,0.0,46.08726176390928
27,5.0,27.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,459.3732640590792,0.0,472.14978923634936,0.0,47.53846864834634
28,5.0,28.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,470.2070207020702,0.0,515.4275427542755,0.0,51.26191263344477
