,cell,frame,x,y,celltype,position,aqctime,sampleset
0,0.0,0.0,288.17758488177583,2.22885302228853,sgLAMTOR1,0,30sec,1
1,1.0,0.0,329.5410286370252,14.025377693048808,sgLAMTOR1,0,30sec,1
2,2.0,0.0,169.86327204148986,68.94483734087694,sgLAMTOR1,0,30sec,1
3,3.0,0.0,248.43799448437994,121.97356721973566,sgLAMTOR1,0,30sec,1
4,4.0,0.0,18.643027093407017,135.45935988947733,sgLAMTOR1,0,30sec,1
5,5.0,0.0,489.85977962875654,139.95494787573995,sgLAMTOR1,0,30sec,1
6,6.0,0.0,591.5892620189854,141.31083211413926,sgLAMTOR1,0,30sec,1
7,7.0,0.0,644.7921476085432,182.01405632791258,sgLAMTOR1,0,30sec,1
8,8.0,0.0,176.8976897689769,218.016087323018,sgLAMTOR1,0,30sec,1
9,9.0,0.0,344.751885902876,241.46628948609145,sgLAMTOR1,0,30sec,1
10,10.0,0.0,276.2191172388267,260.6520465130625,sgLAMTOR1,0,30sec,1
11,11.0,0.0,91.30167254013537,302.8919841136656,sgLAMTOR1,0,30sec,1
12,12.0,0.0,170.8565918320227,305.515489820587,sgLAMTOR1,0,30sec,1
13,13.0,0.0,105.2771256507094,323.1397366540778,sgLAMTOR1,0,30sec,1
14,14.0,0.0,638.0257020115419,348.0059737817357,sgLAMTOR1,0,30sec,1
15,15.0,0.0,319.63696369636966,372.44997937293726,sgLAMTOR1,0,30sec,1
16,16.0,0.0,536.1108020914451,416.2791560054882,sgLAMTOR1,0,30sec,1
17,17.0,0.0,10.200364298724955,430.1141589568793,sgLAMTOR1,0,30sec,1
18,18.0,0.0,356.28536067892503,450.3477133427628,sgLAMTOR1,0,30sec,1
19,19.0,0.0,162.8786759272942,454.8018981002578,sgLAMTOR1,0,30sec,1
20,20.0,0.0,76.48476475554533,460.8734361808274,sgLAMTOR1,0,30sec,1
21,21.0,0.0,619.6354214860738,496.5577866197834,sgLAMTOR1,0,30sec,1
22,22.0,0.0,125.1428368643316,503.52035203520353,sgLAMTOR1,0,30sec,1
23,23.0,0.0,14.744488147444882,507.9675090796751,sgLAMTOR1,0,30sec,1
24,24.0,0.0,237.91566407636782,515.721930758813,sgLAMTOR1,0,30sec,1
25,25.0,0.0,146.72505712109674,514.8927392739274,sgLAMTOR1,0,30sec,1
26,26.0,0.0,670.5760266748324,539.5699363750808,sgLAMTOR1,0,30sec,1
27,27.0,0.0,471.18179903096694,554.2026543079841,sgLAMTOR1,0,30sec,1
28,28.0,0.0,288.1587953456537,567.7069144286091,sgLAMTOR1,0,30sec,1
29,29.0,0.0,418.8943894389439,568.9047029702971,sgLAMTOR1,0,30sec,1
30,30.0,0.0,528.3033122589367,630.7805479343115,sgLAMTOR1,0,30sec,1
31,31.0,0.0,59.05257192385905,636.6736673667366,sgLAMTOR1,0,30sec,1
32,13.0,1.0,105.37393361977706,323.46347842331403,sgLAMTOR1,0,30sec,1
33,1.0,1.0,329.17993553741337,14.563912531604036,sgLAMTOR1,0,30sec,1
34,8.0,1.0,177.2953198934351,217.48247113868013,sgLAMTOR1,0,30sec,1
35,21.0,1.0,618.5694675662256,496.86030549957655,sgLAMTOR1,0,30sec,1
36,31.0,1.0,59.83668789414153,635.8790808658331,sgLAMTOR1,0,30sec,1
37,24.0,1.0,238.787413224081,516.6780471150563,sgLAMTOR1,0,30sec,1
38,10.0,1.0,277.4105982026774,261.48614861486146,sgLAMTOR1,0,30sec,1
39,20.0,1.0,74.93427308832578,461.0365273815517,sgLAMTOR1,0,30sec,1
40,26.0,1.0,671.1375137513751,541.104510451045,sgLAMTOR1,0,30sec,1
41,28.0,1.0,287.8990112290907,569.5718867661415,sgLAMTOR1,0,30sec,1
42,3.0,1.0,249.89285658423663,120.62940891245522,sgLAMTOR1,0,30sec,1
43,30.0,1.0,529.981901415948,631.8748003832641,sgLAMTOR1,0,30sec,1
44,0.0,1.0,285.9986798679868,2.1597359735973596,sgLAMTOR1,0,30sec,1
45,17.0,1.0,8.05668802174335,431.6986992816929,sgLAMTOR1,0,30sec,1
46,15.0,1.0,317.01576532155207,374.0812328244777,sgLAMTOR1,0,30sec,1
47,11.0,1.0,88.26758323500744,304.9470750183827,sgLAMTOR1,0,30sec,1
48,29.0,1.0,415.530964861192,567.4140943506115,sgLAMTOR1,0,30sec,1
49,18.0,1.0,351.2225889255592,451.6846351301797,sgLAMTOR1,0,30sec,1
50,4.0,1.0,24.046275595301466,135.0189857695447,sgLAMTOR1,0,30sec,1
51,6.0,1.0,594.991526179645,145.6003032735706,sgLAMTOR1,0,30sec,1
52,27.0,1.0,474.22442244224425,559.3300330033003,sgLAMTOR1,0,30sec,1
53,12.0,1.0,164.59015551360585,302.26143236891784,sgLAMTOR1,0,30sec,1
54,5.0,1.0,485.1050894563141,145.2637369000058,sgLAMTOR1,0,30sec,1
55,2.0,1.0,177.27731322355032,70.86988491595274,sgLAMTOR1,0,30sec,1
56,9.0,1.0,338.7573539962692,236.53640726391478,sgLAMTOR1,0,30sec,1
57,25.0,1.0,155.4785478547855,513.5808580858086,sgLAMTOR1,0,30sec,1
58,14.0,1.0,628.3704620462047,347.8465346534653,sgLAMTOR1,0,30sec,1
59,22.0,1.0,120.13472952233495,512.7626342881201,sgLAMTOR1,0,30sec,1
60,16.0,1.0,539.2229077980262,406.08408666953653,sgLAMTOR1,0,30sec,1
61,7.0,1.0,652.4871406059525,190.1882080099902,sgLAMTOR1,0,30sec,1
62,23.0,1.0,12.54748116321066,496.89270813873844,sgLAMTOR1,0,30sec,1
63,19.0,1.0,160.72607260726073,468.34595224228303,sgLAMTOR1,0,30sec,1
64,32.0,1.0,1.327897495631916,210.89497185012618,sgLAMTOR1,0,30sec,1
65,33.0,1.0,580.5647231389805,673.3131646497983,sgLAMTOR1,0,30sec,1
66,13.0,2.0,105.52084334647057,323.823256112019,sgLAMTOR1,0,30sec,1
67,8.0,2.0,176.88650220954298,217.11137215416457,sgLAMTOR1,0,30sec,1
68,12.0,2.0,165.75831895116116,302.18911799436825,sgLAMTOR1,0,30sec,1
69,20.0,2.0,76.14521452145215,460.9284928492849,sgLAMTOR1,0,30sec,1
70,4.0,2.0,25.85837531121533,135.13596973732461,sgLAMTOR1,0,30sec,1
71,0.0,2.0,283.8212082077773,2.0375950638542113,sgLAMTOR1,0,30sec,1
72,29.0,2.0,414.4049699087556,569.3166375461076,sgLAMTOR1,0,30sec,1
73,9.0,2.0,336.6819608790147,237.73001690412946,sgLAMTOR1,0,30sec,1
74,6.0,2.0,597.4320400237904,145.002274078998,sgLAMTOR1,0,30sec,1
75,24.0,2.0,237.33942625031736,514.5925361766946,sgLAMTOR1,0,30sec,1
76,21.0,2.0,616.0624723889712,495.37693926873004,sgLAMTOR1,0,30sec,1
77,5.0,2.0,483.38658567051925,148.3360288220057,sgLAMTOR1,0,30sec,1
78,18.0,2.0,347.6822371033783,454.6540131191542,sgLAMTOR1,0,30sec,1
79,11.0,2.0,85.08359032624574,301.49506753954086,sgLAMTOR1,0,30sec,1
80,31.0,2.0,64.1914191419142,637.7540385617509,sgLAMTOR1,0,30sec,1
81,17.0,2.0,5.809887919485018,436.24481260007184,sgLAMTOR1,0,30sec,1
82,15.0,2.0,314.3265024176836,378.69982347071914,sgLAMTOR1,0,30sec,1
83,28.0,2.0,292.8615083730595,571.9533064417552,sgLAMTOR1,0,30sec,1
84,22.0,2.0,118.82041652441106,518.2627745533174,sgLAMTOR1,0,30sec,1
85,1.0,2.0,326.2578889467894,19.663018933472294,sgLAMTOR1,0,30sec,1
86,26.0,2.0,674.4321490972627,547.1170646476412,sgLAMTOR1,0,30sec,1
87,25.0,2.0,153.19679026726203,506.5683038892125,sgLAMTOR1,0,30sec,1
