,cell,frame,x,y,celltype,position,aqctime
0,0.0,0.0,492.62926292629265,20.401350479875575,sgGIT2,0,30sec
1,1.0,0.0,280.5467339186749,32.069244660315086,sgGIT2,0,30sec
2,2.0,0.0,447.9268935296891,46.55406717142303,sgGIT2,0,30sec
3,3.0,0.0,383.5557468790357,67.24063710718897,sgGIT2,0,30sec
4,4.0,0.0,452.3347384243375,73.14969120674444,sgGIT2,0,30sec
5,5.0,0.0,274.8607900437621,78.66707375583374,sgGIT2,0,30sec
6,6.0,0.0,409.55027833610427,92.74837258161907,sgGIT2,0,30sec
7,7.0,0.0,644.8883260419066,90.23716325120884,sgGIT2,0,30sec
8,8.0,0.0,628.4776980692081,96.29849212466156,sgGIT2,0,30sec
9,9.0,0.0,571.4598402845467,98.92098018091966,sgGIT2,0,30sec
10,10.0,0.0,671.5689947373116,108.57550619926857,sgGIT2,0,30sec
11,11.0,0.0,625.2857346803382,127.5187060690802,sgGIT2,0,30sec
12,12.0,0.0,486.8353502016868,128.51729617406184,sgGIT2,0,30sec
13,13.0,0.0,655.3194645307227,127.80806170504691,sgGIT2,0,30sec
14,14.0,0.0,559.2218169185339,142.67500434253952,sgGIT2,0,30sec
15,15.0,0.0,394.8554855485549,154.7994799479948,sgGIT2,0,30sec
16,16.0,0.0,647.0555879117323,158.28641687698183,sgGIT2,0,30sec
17,17.0,0.0,624.0870573543841,167.06092230844706,sgGIT2,0,30sec
18,18.0,0.0,629.8184818481848,222.50412541254124,sgGIT2,0,30sec
19,19.0,0.0,456.7114245671142,234.17423934174238,sgGIT2,0,30sec
20,20.0,0.0,478.976897689769,236.7161716171617,sgGIT2,0,30sec
21,21.0,0.0,651.0259249609171,245.6618030224075,sgGIT2,0,30sec
22,22.0,0.0,607.1273448588382,237.50064125583543,sgGIT2,0,30sec
23,23.0,0.0,40.854915185841726,246.77821493939786,sgGIT2,0,30sec
24,24.0,0.0,492.7991403791542,280.12894312687087,sgGIT2,0,30sec
25,25.0,0.0,466.8326050482143,279.19685823330934,sgGIT2,0,30sec
26,26.0,0.0,12.636195126361951,286.4776888647769,sgGIT2,0,30sec
27,27.0,0.0,633.0890231880331,302.70455616990273,sgGIT2,0,30sec
28,28.0,0.0,170.2208682406702,371.4436828298214,sgGIT2,0,30sec
29,29.0,0.0,399.5891896881996,373.35733573357334,sgGIT2,0,30sec
30,30.0,0.0,373.2856618995233,376.017601760176,sgGIT2,0,30sec
31,31.0,0.0,309.9430748443972,389.4079340819988,sgGIT2,0,30sec
32,32.0,0.0,202.50397509386565,397.87816838364,sgGIT2,0,30sec
33,33.0,0.0,645.4475779331488,403.04381149015376,sgGIT2,0,30sec
34,34.0,0.0,606.4176714701173,410.59700029408884,sgGIT2,0,30sec
35,35.0,0.0,25.722968336437603,419.550370878672,sgGIT2,0,30sec
36,36.0,0.0,197.40894397923083,424.1764022160571,sgGIT2,0,30sec
37,37.0,0.0,429.89517342538846,430.1607172211474,sgGIT2,0,30sec
38,38.0,0.0,315.80985021579085,460.0850469662351,sgGIT2,0,30sec
39,39.0,0.0,625.0961178592086,470.86863325507807,sgGIT2,0,30sec
40,40.0,0.0,177.10153368278003,471.15770400569465,sgGIT2,0,30sec
41,41.0,0.0,157.84780401117033,471.62985529322157,sgGIT2,0,30sec
42,42.0,0.0,169.25155602808601,498.2523755731278,sgGIT2,0,30sec
43,43.0,0.0,111.09152800096764,503.2744112107545,sgGIT2,0,30sec
44,44.0,0.0,543.7356850439143,510.25266461072334,sgGIT2,0,30sec
45,45.0,0.0,219.40986177825704,537.1466849655262,sgGIT2,0,30sec
46,46.0,0.0,422.73317379131277,560.1489058858492,sgGIT2,0,30sec
47,47.0,0.0,588.9669413868761,577.6831314416359,sgGIT2,0,30sec
48,48.0,0.0,525.1096874393321,587.8159580663948,sgGIT2,0,30sec
49,49.0,0.0,306.4155739898314,597.0876817411471,sgGIT2,0,30sec
50,50.0,0.0,435.99672069117736,594.0047507935507,sgGIT2,0,30sec
51,51.0,0.0,210.15580627830224,597.2829841123647,sgGIT2,0,30sec
52,52.0,0.0,533.6861796778757,598.1140971239981,sgGIT2,0,30sec
53,53.0,0.0,195.2970297029703,609.6259625962597,sgGIT2,0,30sec
54,54.0,0.0,329.37748947308523,615.4182314783202,sgGIT2,0,30sec
55,55.0,0.0,461.87704197555433,624.0376801499245,sgGIT2,0,30sec
56,56.0,0.0,133.53492984766456,639.9226129509502,sgGIT2,0,30sec
57,57.0,0.0,202.27235838337933,644.0080073581129,sgGIT2,0,30sec
58,58.0,0.0,245.6168904561689,649.9238964992389,sgGIT2,0,30sec
59,59.0,0.0,330.9622582369969,659.719379759205,sgGIT2,0,30sec
60,34.0,1.0,606.1372803947062,410.6210621062106,sgGIT2,0,30sec
61,26.0,1.0,13.11048536046265,286.6018711962939,sgGIT2,0,30sec
62,22.0,1.0,606.8809115548426,237.948264100153,sgGIT2,0,30sec
63,13.0,1.0,654.6579657965797,128.06780678067807,sgGIT2,0,30sec
64,42.0,1.0,169.65961302012556,497.5182812398887,sgGIT2,0,30sec
65,9.0,1.0,571.0846084608461,97.92229222922292,sgGIT2,0,30sec
66,5.0,1.0,273.56985698569855,78.28810658843662,sgGIT2,0,30sec
67,10.0,1.0,672.4972497249726,110.02147833831002,sgGIT2,0,30sec
68,32.0,1.0,200.74578886460074,396.93540782649694,sgGIT2,0,30sec
69,53.0,1.0,193.29495740271702,609.5264410161947,sgGIT2,0,30sec
70,52.0,1.0,532.8073432343234,599.9209295929593,sgGIT2,0,30sec
71,17.0,1.0,622.685620517359,165.60281726496672,sgGIT2,0,30sec
72,38.0,1.0,313.85960217643384,460.6939612880207,sgGIT2,0,30sec
73,45.0,1.0,220.1514269073966,534.8573092603377,sgGIT2,0,30sec
74,2.0,1.0,450.3924342014033,46.920154200293986,sgGIT2,0,30sec
75,24.0,1.0,494.96498430330837,278.48748289463094,sgGIT2,0,30sec
76,29.0,1.0,398.8210381731815,375.9934374940384,sgGIT2,0,30sec
77,18.0,1.0,629.9143397485816,225.37545889420403,sgGIT2,0,30sec
78,7.0,1.0,644.2542746736985,93.1124268205715,sgGIT2,0,30sec
79,35.0,1.0,22.986447580928306,420.80963415490487,sgGIT2,0,30sec
80,8.0,1.0,630.1914937256438,99.26348567060096,sgGIT2,0,30sec
81,54.0,1.0,327.368995892395,612.0283970843128,sgGIT2,0,30sec
82,16.0,1.0,649.6831683168317,155.07920792079207,sgGIT2,0,30sec
83,30.0,1.0,377.27211317622994,377.16017215756665,sgGIT2,0,30sec
84,11.0,1.0,625.0867667411902,131.78750133077824,sgGIT2,0,30sec
85,57.0,1.0,197.9401831233707,644.0497746272681,sgGIT2,0,30sec
86,40.0,1.0,176.07531244927773,466.77848112680124,sgGIT2,0,30sec
87,56.0,1.0,137.43029475361328,642.392170251508,sgGIT2,0,30sec
88,4.0,1.0,448.08955122316354,75.21690313361233,sgGIT2,0,30sec
89,36.0,1.0,198.59250630945448,419.47194719471946,sgGIT2,0,30sec
90,27.0,1.0,630.9578210568309,298.2156457403982,sgGIT2,0,30sec
91,59.0,1.0,335.8766385113087,660.4613003673248,sgGIT2,0,30sec
92,14.0,1.0,561.7537919595068,147.62906342447715,sgGIT2,0,30sec
93,23.0,1.0,37.610011001100105,251.40607810781077,sgGIT2,0,30sec
94,20.0,1.0,477.49100752771903,231.16030704194017,sgGIT2,0,30sec
95,6.0,1.0,413.2052726230707,97.23523250528646,sgGIT2,0,30sec
96,12.0,1.0,487.8836159478017,134.266530101286,sgGIT2,0,30sec
97,0.0,1.0,488.3255358502883,24.404308562724406,sgGIT2,0,30sec
98,25.0,1.0,466.6607201260667,285.1336484999851,sgGIT2,0,30sec
99,21.0,1.0,654.0380508639099,240.52611143467286,sgGIT2,0,30sec
100,31.0,1.0,310.03416131086794,395.40269816455327,sgGIT2,0,30sec
101,1.0,1.0,283.49030024953714,26.77614102873702,sgGIT2,0,30sec
102,39.0,1.0,627.255708026943,464.95281107058076,sgGIT2,0,30sec
103,37.0,1.0,429.8221488815548,423.8051582936071,sgGIT2,0,30sec
104,58.0,1.0,250.61003837940353,654.6839299314546,sgGIT2,0,30sec
105,47.0,1.0,582.2829179469671,579.6517582792762,sgGIT2,0,30sec
106,28.0,1.0,163.7590574699928,367.59407784353857,sgGIT2,0,30sec
107,19.0,1.0,449.2671627411188,232.4580284115368,sgGIT2,0,30sec
108,55.0,1.0,456.6116611661166,618.3791712504584,sgGIT2,0,30sec
109,41.0,1.0,162.31499438603655,464.5469701609336,sgGIT2,0,30sec
110,3.0,1.0,382.26445760153905,76.11655637925601,sgGIT2,0,30sec
111,50.0,1.0,439.3472680601393,603.1353135313532,sgGIT2,0,30sec
112,49.0,1.0,310.48604860486046,606.0241738459559,sgGIT2,0,30sec
113,15.0,1.0,401.2905136667513,162.35508166201237,sgGIT2,0,30sec
114,33.0,1.0,640.0962130111316,393.9251552273871,sgGIT2,0,30sec
115,48.0,1.0,531.764323973381,579.1195512993922,sgGIT2,0,30sec
116,51.0,1.0,205.39465161469417,586.7431602973381,sgGIT2,0,30sec
117,43.0,1.0,118.20427075820164,512.6702074180928,sgGIT2,0,30sec
118,44.0,1.0,540.9767572501931,498.58858226248157,sgGIT2,0,30sec
119,46.0,1.0,435.5148514851485,560.3168316831683,sgGIT2,0,30sec
120,32.0,2.0,200.78519700311261,397.50676489449893,sgGIT2,0,30sec
121,2.0,2.0,449.7892363493775,46.75031859621606,sgGIT2,0,30sec
122,13.0,2.0,655.1548011944052,127.67562470532766,sgGIT2,0,30sec
123,35.0,2.0,22.83436264418521,421.7102898408653,sgGIT2,0,30sec
124,18.0,2.0,629.4311784119589,224.5671625986128,sgGIT2,0,30sec
125,29.0,2.0,399.2835868952749,375.15092972711903,sgGIT2,0,30sec
126,57.0,2.0,197.38762608655233,645.3865104820342,sgGIT2,0,30sec
127,26.0,2.0,11.506042690599996,285.75634541871455,sgGIT2,0,30sec
128,38.0,2.0,315.69966996699674,461.3333333333333,sgGIT2,0,30sec
129,23.0,2.0,37.50486849927229,249.43525408441465,sgGIT2,0,30sec
130,17.0,2.0,621.4049976426214,164.03365611286404,sgGIT2,0,30sec
131,20.0,2.0,478.78335572250694,229.4243494701229,sgGIT2,0,30sec
132,34.0,2.0,608.4950495049505,411.07920792079204,sgGIT2,0,30sec
133,5.0,2.0,275.3469322835898,79.96341802854984,sgGIT2,0,30sec
134,42.0,2.0,171.52735681731437,499.22543274735636,sgGIT2,0,30sec
135,28.0,2.0,163.66336633663366,370.22368903557026,sgGIT2,0,30sec
136,52.0,2.0,534.3787170595232,602.3420616173293,sgGIT2,0,30sec
137,31.0,2.0,308.65074742768394,398.12851873422636,sgGIT2,0,30sec
