,cell,frame,x,y,celltype,position,aqctime
0,0.0,0.0,485.82088022466843,3.829202796056003,sgTLN1,0,30sec
1,1.0,0.0,219.35257355522788,4.91538515553683,sgTLN1,0,30sec
2,2.0,0.0,563.9569220079903,16.39742921660587,sgTLN1,0,30sec
3,3.0,0.0,384.8803630363036,27.31023102310231,sgTLN1,0,30sec
4,4.0,0.0,179.75547554755474,30.98184818481848,sgTLN1,0,30sec
5,5.0,0.0,178.7939320247814,76.08418736610503,sgTLN1,0,30sec
6,6.0,0.0,591.7525085841917,76.99103243657699,sgTLN1,0,30sec
7,7.0,0.0,442.68426842684266,86.27450980392157,sgTLN1,0,30sec
8,8.0,0.0,544.4405154801194,94.16941694169417,sgTLN1,0,30sec
9,9.0,0.0,163.41468541758636,97.55943747240967,sgTLN1,0,30sec
10,10.0,0.0,672.704329256455,112.64317608231411,sgTLN1,0,30sec
11,11.0,0.0,152.6149912288526,130.6008979276306,sgTLN1,0,30sec
12,12.0,0.0,275.47238240307547,133.16287672723317,sgTLN1,0,30sec
13,13.0,0.0,379.0677697906777,173.0337417303374,sgTLN1,0,30sec
14,14.0,0.0,552.0037718057521,178.52864651544522,sgTLN1,0,30sec
15,15.0,0.0,660.6843442964986,205.29190850119494,sgTLN1,0,30sec
16,16.0,0.0,180.9289403516623,214.97268370904885,sgTLN1,0,30sec
17,17.0,0.0,490.5930829769368,219.64184584138886,sgTLN1,0,30sec
18,18.0,0.0,443.7885297963759,241.3599850551093,sgTLN1,0,30sec
19,19.0,0.0,489.5705755546653,244.06035979320475,sgTLN1,0,30sec
20,20.0,0.0,579.0325907590759,255.03300330033002,sgTLN1,0,30sec
21,21.0,0.0,663.1243124312431,280.2168788307402,sgTLN1,0,30sec
22,22.0,0.0,388.6221122112211,301.57178217821786,sgTLN1,0,30sec
23,23.0,0.0,71.46714671467146,319.9799979998,sgTLN1,0,30sec
24,24.0,0.0,625.1326887074672,340.4975585277826,sgTLN1,0,30sec
25,25.0,0.0,303.1498552154066,347.0151612862436,sgTLN1,0,30sec
26,26.0,0.0,27.16806891956801,347.2164117820233,sgTLN1,0,30sec
27,27.0,0.0,255.9608902066677,360.50193254619575,sgTLN1,0,30sec
28,28.0,0.0,75.91907016788635,374.8141770698809,sgTLN1,0,30sec
29,29.0,0.0,537.2937293729373,418.2827221269613,sgTLN1,0,30sec
30,30.0,0.0,458.8856532712095,426.71714230246556,sgTLN1,0,30sec
31,31.0,0.0,39.91881946815371,455.346914001745,sgTLN1,0,30sec
32,32.0,0.0,555.1691066542552,460.61606160616066,sgTLN1,0,30sec
33,33.0,0.0,657.3201320132014,468.46497983131644,sgTLN1,0,30sec
34,34.0,0.0,584.0363227074153,473.4580972548122,sgTLN1,0,30sec
35,35.0,0.0,573.9962485457179,488.8667283994587,sgTLN1,0,30sec
36,36.0,0.0,224.47669424476695,504.8555540485556,sgTLN1,0,30sec
37,37.0,0.0,494.0765187629874,509.5318420730962,sgTLN1,0,30sec
38,38.0,0.0,655.8274695394068,521.0536147954418,sgTLN1,0,30sec
39,39.0,0.0,191.631183843773,568.6485747020298,sgTLN1,0,30sec
40,40.0,0.0,102.37703932336554,624.3449446159191,sgTLN1,0,30sec
41,41.0,0.0,526.012601260126,642.2284333696527,sgTLN1,0,30sec
42,42.0,0.0,470.40704070407037,667.5975289836676,sgTLN1,0,30sec
43,43.0,0.0,75.13995844028847,671.7858452511917,sgTLN1,0,30sec
44,25.0,1.0,303.6949028236157,347.56729006233957,sgTLN1,0,30sec
45,4.0,1.0,179.34823422462006,29.9915021442264,sgTLN1,0,30sec
46,34.0,1.0,585.0733174583281,473.16706354179723,sgTLN1,0,30sec
47,30.0,1.0,460.0740074007401,427.3987398739874,sgTLN1,0,30sec
48,6.0,1.0,590.2691300057841,76.58126637406009,sgTLN1,0,30sec
49,13.0,1.0,380.48181629757175,172.18156598268524,sgTLN1,0,30sec
50,3.0,1.0,384.0257555167281,25.894648288358244,sgTLN1,0,30sec
51,27.0,1.0,254.95239179090322,361.9248131709723,sgTLN1,0,30sec
52,16.0,1.0,181.96730915695122,216.48602730095496,sgTLN1,0,30sec
53,17.0,1.0,492.5762946665037,219.65937334474188,sgTLN1,0,30sec
54,26.0,1.0,27.802333804809052,345.03771805752007,sgTLN1,0,30sec
55,40.0,1.0,102.19886186149478,626.6525417973896,sgTLN1,0,30sec
56,0.0,1.0,484.92695423388494,5.968289136605968,sgTLN1,0,30sec
57,15.0,1.0,661.1276790329636,202.99415483717047,sgTLN1,0,30sec
58,31.0,1.0,38.77564227010936,453.0684440993119,sgTLN1,0,30sec
59,5.0,1.0,177.83161294852889,73.67109051330665,sgTLN1,0,30sec
60,9.0,1.0,162.59352643338866,95.00440727302544,sgTLN1,0,30sec
61,24.0,1.0,625.9014790367926,343.10801450515424,sgTLN1,0,30sec
62,35.0,1.0,572.3639517236395,486.57464286574645,sgTLN1,0,30sec
63,14.0,1.0,554.2144690659542,176.64972846491,sgTLN1,0,30sec
64,28.0,1.0,72.8402251989905,374.96337869081026,sgTLN1,0,30sec
65,22.0,1.0,391.8326772436279,302.16708417829733,sgTLN1,0,30sec
66,10.0,1.0,672.6352296246574,115.91989707445322,sgTLN1,0,30sec
67,2.0,1.0,566.6666666666666,14.161416141614161,sgTLN1,0,30sec
68,19.0,1.0,486.6423484453709,246.16216007565671,sgTLN1,0,30sec
69,43.0,1.0,78.1078107810781,669.4524291138791,sgTLN1,0,30sec
70,38.0,1.0,655.5788912224556,525.012501250125,sgTLN1,0,30sec
71,41.0,1.0,523.7001414427157,638.3177746346063,sgTLN1,0,30sec
72,33.0,1.0,657.2427242724273,463.8073807380738,sgTLN1,0,30sec
73,11.0,1.0,147.57098898295627,130.21476060649545,sgTLN1,0,30sec
74,37.0,1.0,499.58858899588586,511.5285501152855,sgTLN1,0,30sec
75,21.0,1.0,667.9771391773323,276.59019560492635,sgTLN1,0,30sec
76,23.0,1.0,78.0990099009901,317.024045261669,sgTLN1,0,30sec
77,12.0,1.0,281.7424283864851,129.0410809036705,sgTLN1,0,30sec
78,29.0,1.0,537.4893044860041,426.4087519863097,sgTLN1,0,30sec
79,7.0,1.0,444.91382471580494,94.25009167583426,sgTLN1,0,30sec
80,39.0,1.0,194.2065063649222,560.2451673738802,sgTLN1,0,30sec
81,32.0,1.0,546.787785574674,456.1088147649716,sgTLN1,0,30sec
82,42.0,1.0,479.97258742267667,665.2996447185702,sgTLN1,0,30sec
83,36.0,1.0,227.440537157164,514.5510413110277,sgTLN1,0,30sec
84,20.0,1.0,573.9845492929181,245.9206814536202,sgTLN1,0,30sec
85,18.0,1.0,433.5371772471364,234.905843525529,sgTLN1,0,30sec
86,8.0,1.0,532.9970139871131,87.39588244538739,sgTLN1,0,30sec
87,1.0,1.0,201.40162164364583,1.7194312023794973,sgTLN1,0,30sec
88,33.0,2.0,657.3715228665724,463.63743517208866,sgTLN1,0,30sec
89,13.0,2.0,379.8944857989448,172.48440172484402,sgTLN1,0,30sec
90,25.0,2.0,303.08955265274426,347.86310563829494,sgTLN1,0,30sec
91,30.0,2.0,460.75874914224096,428.3599647093422,sgTLN1,0,30sec
92,4.0,2.0,178.4788648356361,30.82545542689862,sgTLN1,0,30sec
93,24.0,2.0,624.6864686468647,342.72558963213396,sgTLN1,0,30sec
94,5.0,2.0,178.3019736236572,74.88199019105097,sgTLN1,0,30sec
95,9.0,2.0,161.77343761773437,96.04412496044125,sgTLN1,0,30sec
96,31.0,2.0,37.88569333123789,454.08001117572076,sgTLN1,0,30sec
97,34.0,2.0,585.7039362472833,474.6961281494003,sgTLN1,0,30sec
98,7.0,2.0,443.57988740050473,92.97223840031062,sgTLN1,0,30sec
99,39.0,2.0,193.19089803717213,561.9304035666725,sgTLN1,0,30sec
100,38.0,2.0,657.472611166442,524.3814322260629,sgTLN1,0,30sec
101,19.0,2.0,487.99389899149276,244.67673859019368,sgTLN1,0,30sec
102,17.0,2.0,492.36231680040044,221.66643204604821,sgTLN1,0,30sec
103,37.0,2.0,497.84867375626453,512.6879354602127,sgTLN1,0,30sec
104,36.0,2.0,228.51862329090054,516.3979255068364,sgTLN1,0,30sec
105,26.0,2.0,26.55848918225156,343.01735729128467,sgTLN1,0,30sec
106,23.0,2.0,77.3034680517232,319.44489530920305,sgTLN1,0,30sec
107,6.0,2.0,587.5187518751875,76.81339562527681,sgTLN1,0,30sec
108,27.0,2.0,257.8706328782658,361.35560692633135,sgTLN1,0,30sec
109,28.0,2.0,71.32520944402133,372.15536938309214,sgTLN1,0,30sec
110,14.0,2.0,554.284317320621,173.4360102676934,sgTLN1,0,30sec
111,10.0,2.0,673.0283373164903,112.45021053829521,sgTLN1,0,30sec
112,35.0,2.0,573.2575624426348,483.17612826371396,sgTLN1,0,30sec
113,11.0,2.0,146.39270378650767,133.5509895075529,sgTLN1,0,30sec
114,43.0,2.0,78.1946302738382,665.8674516100259,sgTLN1,0,30sec
115,21.0,2.0,670.3949015591214,273.88642312507113,sgTLN1,0,30sec
116,2.0,2.0,563.0438905959562,14.764235044194074,sgTLN1,0,30sec
117,8.0,2.0,536.37449634534,89.70418514244062,sgTLN1,0,30sec
118,0.0,2.0,486.09379456464166,1.7357291284684024,sgTLN1,0,30sec
119,12.0,2.0,285.6382412434792,125.6751481599773,sgTLN1,0,30sec
120,16.0,2.0,186.5162804940288,218.9649892824334,sgTLN1,0,30sec
121,15.0,2.0,666.648432799081,203.02317524570137,sgTLN1,0,30sec
122,29.0,2.0,532.9330523413787,423.1235171709942,sgTLN1,0,30sec
123,40.0,2.0,108.41867691923831,627.375727263448,sgTLN1,0,30sec
124,20.0,2.0,569.6554702199192,241.0968199623701,sgTLN1,0,30sec
125,32.0,2.0,548.4181751508484,449.5949594959496,sgTLN1,0,30sec
126,41.0,2.0,518.6242834809797,633.3507034914018,sgTLN1,0,30sec
127,42.0,2.0,484.4584458445845,659.1125779244591,sgTLN1,0,30sec
128,3.0,2.0,388.31944868495657,32.561317805789386,sgTLN1,0,30sec
129,18.0,2.0,424.2834809796769,233.0096167511488,sgTLN1,0,30sec
130,22.0,2.0,401.7461048430425,298.62997927699746,sgTLN1,0,30sec
131,1.0,2.0,inf,inf,sgTLN1,0,30sec
132,33.0,3.0,658.2494146850582,463.8374093819638,sgTLN1,0,30sec
133,23.0,3.0,76.9885684220596,318.5121410691794,sgTLN1,0,30sec
134,21.0,3.0,669.6987118066645,274.65559459171726,sgTLN1,0,30sec
135,11.0,3.0,145.7903237132224,134.69559721929642,sgTLN1,0,30sec
136,25.0,3.0,301.6342598115233,348.1516826381433,sgTLN1,0,30sec
137,10.0,3.0,674.0408415841584,113.54166666666667,sgTLN1,0,30sec
138,7.0,3.0,442.49121686362184,91.78750133077824,sgTLN1,0,30sec
139,20.0,3.0,570.1540854722415,239.17933194593343,sgTLN1,0,30sec
140,26.0,3.0,28.818546879318472,343.82285519192317,sgTLN1,0,30sec
141,31.0,3.0,37.99179917991799,456.49764976497653,sgTLN1,0,30sec
142,40.0,3.0,110.8189361446266,626.9718469822691,sgTLN1,0,30sec
143,32.0,3.0,550.7439268517015,447.86740969178885,sgTLN1,0,30sec
144,38.0,3.0,660.5280528052806,523.6342457775189,sgTLN1,0,30sec
145,34.0,3.0,587.1919106804298,477.55541511597966,sgTLN1,0,30sec
146,6.0,3.0,584.1929742712491,76.91669690529262,sgTLN1,0,30sec
147,4.0,3.0,178.43281471004244,34.4026402640264,sgTLN1,0,30sec
148,8.0,3.0,533.1655817515453,87.71584340754517,sgTLN1,0,30sec
149,41.0,3.0,515.0259067357513,634.6996357666854,sgTLN1,0,30sec
150,13.0,3.0,378.8608903808836,176.605900933441,sgTLN1,0,30sec
151,39.0,3.0,193.4529702970297,566.7945544554456,sgTLN1,0,30sec
152,3.0,3.0,392.33169218561204,36.94205486122382,sgTLN1,0,30sec
153,14.0,3.0,549.1522542812221,177.10732446635222,sgTLN1,0,30sec
154,42.0,3.0,481.6883793642522,653.2499565746048,sgTLN1,0,30sec
155,12.0,3.0,286.3830827527197,118.99930733814122,sgTLN1,0,30sec
156,18.0,3.0,424.5077316720436,240.13794637890757,sgTLN1,0,30sec
157,5.0,3.0,175.42420908757543,81.55148848218155,sgTLN1,0,30sec
158,28.0,3.0,71.72103664549722,364.18550221556023,sgTLN1,0,30sec
159,27.0,3.0,253.1017173573645,354.70445248117625,sgTLN1,0,30sec
160,35.0,3.0,571.8619544073613,474.54374576530495,sgTLN1,0,30sec
161,19.0,3.0,496.6678246772046,241.957616814313,sgTLN1,0,30sec
162,2.0,3.0,555.3293357504765,3.249198159252545,sgTLN1,0,30sec
163,9.0,3.0,124.83248324832483,92.75327532753276,sgTLN1,0,30sec
164,17.0,3.0,463.5313531353135,223.008015087223,sgTLN1,0,30sec
165,29.0,3.0,507.97722259272564,427.93823423793157,sgTLN1,0,30sec
166,36.0,3.0,197.78738437224004,515.6277599590945,sgTLN1,0,30sec
167,37.0,3.0,464.6116611661166,511.4015401540154,sgTLN1,0,30sec
168,22.0,3.0,363.06030603060304,300.26202620262023,sgTLN1,0,30sec
169,24.0,3.0,584.8774163130598,339.68253968253964,sgTLN1,0,30sec
170,0.0,3.0,inf,inf,sgTLN1,0,30sec
171,1.0,3.0,inf,inf,sgTLN1,0,30sec
172,15.0,3.0,inf,inf,sgTLN1,0,30sec
173,16.0,3.0,inf,inf,sgTLN1,0,30sec
174,30.0,3.0,inf,inf,sgTLN1,0,30sec
175,43.0,3.0,inf,inf,sgTLN1,0,30sec
176,44.0,3.0,623.0411930081897,206.63733039970663,sgTLN1,0,30sec
177,45.0,3.0,135.6151509190654,213.00898301750706,sgTLN1,0,30sec
178,46.0,3.0,420.38529434338784,429.1350065239082,sgTLN1,0,30sec
179,47.0,3.0,34.72637961470566,663.3509862614169,sgTLN1,0,30sec
180,40.0,4.0,110.29790203689973,627.2836975327489,sgTLN1,0,30sec
181,3.0,4.0,392.95811934134593,36.57542224810717,sgTLN1,0,30sec
182,4.0,4.0,178.7241224122412,33.73087308730873,sgTLN1,0,30sec
183,2.0,4.0,556.2093352192362,3.1023102310231025,sgTLN1,0,30sec
184,38.0,4.0,660.0063197809143,522.8951618566113,sgTLN1,0,30sec
185,33.0,4.0,657.6639403070742,462.8325441239776,sgTLN1,0,30sec
186,19.0,4.0,495.17109605697414,240.9866249782873,sgTLN1,0,30sec
187,13.0,4.0,378.13861386138615,174.93399339933993,sgTLN1,0,30sec
188,20.0,4.0,571.2908790879088,240.7290729072907,sgTLN1,0,30sec
189,27.0,4.0,251.2620706515096,354.13458012467913,sgTLN1,0,30sec
190,8.0,4.0,533.3981819234556,89.87088182502461,sgTLN1,0,30sec
191,6.0,4.0,582.8175487705839,75.21987800874328,sgTLN1,0,30sec
192,23.0,4.0,75.991932526586,320.56105610561053,sgTLN1,0,30sec
193,21.0,4.0,670.4717530576587,276.81726155808855,sgTLN1,0,30sec
194,34.0,4.0,585.9318461966678,479.6333850252495,sgTLN1,0,30sec
195,7.0,4.0,445.1742735249135,91.62038155035016,sgTLN1,0,30sec
