,cell,frame,x,y,z,celltype_x,position,acqtime,analysis_date,aqctime_sec,celltype_y,concentration,date,magnification,material,media,misc,scope,trial
0,0.0,0.0,295.0414553650487,29.60100888137594,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
1,1.0,0.0,437.2580812088177,41.073584710387415,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
2,2.0,0.0,473.5134039719762,56.74541138324359,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
3,3.0,0.0,652.6298575803527,89.65599262628965,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
4,4.0,0.0,387.0768208896361,99.36484214459182,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
5,5.0,0.0,346.56733000032676,137.6030672374168,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
6,6.0,0.0,593.3318331833183,139.517701770177,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
7,7.0,0.0,291.31769208049207,140.73275031783334,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
8,8.0,0.0,209.32972220988913,150.1368970977815,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
9,9.0,0.0,258.11979571940935,158.52316939010973,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
10,10.0,0.0,81.08569477637418,169.99203368612723,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
11,11.0,0.0,618.8471983729738,173.80439150926162,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
12,12.0,0.0,178.6074217177815,183.57240602108993,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
13,13.0,0.0,517.0070512586313,194.06427727643612,0.0,HL-60KW_SC575_sgFLCN,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgFLCN,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
