,cell,frame,x,y,z,celltype_x,position,acqtime,analysis_date,aqctime_sec,celltype_y,concentration,date,magnification,material,media,misc,scope,trial
0,0.0,0.0,103.14325550202078,180.39568662748627,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
1,1.0,0.0,595.3616983319954,201.7233074658817,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
2,2.0,0.0,542.8475660066007,261.52537128712873,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
3,3.0,0.0,133.25582558255826,262.7987798779878,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
4,4.0,0.0,407.03199032774563,311.7766232068752,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
5,5.0,0.0,182.00220022002202,320.4033736707004,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
6,6.0,0.0,466.1118285741618,342.689051513847,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
7,7.0,0.0,143.70458505077977,343.60543350472386,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
8,8.0,0.0,115.29050579476552,440.7797989101236,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
9,9.0,0.0,126.93611826936119,500.25769700257695,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
10,10.0,0.0,426.53984499573556,522.5887195461119,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
11,11.0,0.0,0.8044554455445545,568.5437293729373,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,2.0
