,cell,frame,x,y,z,celltype_x,position,acqtime,analysis_date,aqctime_sec,celltype_y,concentration,date,magnification,material,media,misc,scope,trial
0,0.0,0.0,367.5939022473676,3.1162299903459734,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
1,1.0,0.0,513.5981952625642,2.005263817520993,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
2,2.0,0.0,620.3887055372204,0.7884121745507884,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
3,3.0,0.0,421.89160092479835,16.162792749863222,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
4,4.0,0.0,509.05676202979413,34.11556625275787,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
5,5.0,0.0,541.3074640797413,38.460512717938464,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
6,6.0,0.0,616.818963843646,39.29200222253463,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
7,7.0,0.0,424.91463019134284,43.987866994791965,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
8,8.0,0.0,554.5094509450945,104.42844284428443,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
9,9.0,0.0,337.9399154868758,163.2815150673946,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
10,10.0,0.0,587.8699345344371,179.95184764378075,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
11,11.0,0.0,105.37919771358578,189.506991936307,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
12,12.0,0.0,455.6253072115722,211.82220349694546,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
13,13.0,0.0,374.2776318448171,217.74769313666062,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
