,cell,frame,x,y,z,celltype_x,position,acqtime,aqctime_sec,date,celltype_y,material,concentration,scope,magnification,trial,media,misc,analysis_date
0,0.0,0.0,146.4420977880645,347.03519107861445,0.8907097202535581,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
1,1.0,0.0,470.7989509371202,310.25714834004987,54.75609729815159,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
2,2.0,0.0,97.67161868724872,308.0751617827274,74.33644876953994,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
3,3.0,0.0,312.4197105296964,330.54372029289596,80.23518795988176,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
4,4.0,0.0,50.026530994444094,438.96570738914204,82.48135187688264,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
5,5.0,0.0,337.4122661963032,141.19170984455957,85.21546972369782,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
6,6.0,0.0,51.72899301644514,438.8298961682607,84.77097098162325,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
7,7.0,0.0,578.8073649148779,172.81180606957807,90.91728516948332,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
8,8.0,0.0,409.49723851278253,660.3868928998463,94.64478816788507,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
9,9.0,0.0,208.337154385804,147.04938328213123,93.0584816422931,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
10,10.0,0.0,650.7876243225537,443.3104043833005,94.94888098133049,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
11,11.0,0.0,134.13801224682052,573.60103626943,96.78412062413847,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
12,12.0,0.0,423.7729023998454,589.0325132553112,97.82659896503361,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
13,13.0,0.0,409.50649410999324,658.8559213736379,95.24100762617682,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
14,14.0,0.0,175.7747580408642,192.23531136963533,110.34491350191325,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
15,15.0,0.0,610.4133813922055,203.0018022077044,104.93244371262278,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
16,16.0,0.0,451.27339963229144,442.05979441751623,109.46013357085101,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
17,17.0,0.0,319.5780903034789,53.29899662801217,109.11880227233358,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
18,18.0,0.0,208.58056159117498,146.55064348988802,102.0,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
19,19.0,0.0,502.4069712670749,468.6858219500706,111.31242692387966,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
20,20.0,0.0,18.17004239284032,216.66274140367403,115.5315428803608,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
21,21.0,0.0,258.6355785837651,585.6697370946075,118.12767683252974,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
22,22.0,0.0,267.0036419614027,438.9502140121649,122.50405457904577,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
23,23.0,0.0,71.30424222797927,621.4445703799654,121.88604153842759,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
24,24.0,0.0,196.68226642152766,168.31021226809293,122.41135824614204,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
25,25.0,0.0,7.568125119938591,426.82546536173476,119.01859219309276,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
26,26.0,0.0,444.3471969378705,87.20767399523875,124.35111136597223,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
27,27.0,0.0,310.5479153551886,227.61609607282938,141.631806421195,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
28,28.0,0.0,260.7274730510392,263.7945923411351,122.56462908524988,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
29,29.0,0.0,71.1761658031088,315.1243523316062,126.62887883631188,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
30,30.0,0.0,423.13198800109075,589.044177802018,117.02637170531344,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
31,31.0,0.0,78.83627868245743,499.5431624722428,132.29656409427056,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
32,32.0,0.0,63.060786048274984,210.16839378238342,139.78949355078674,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
33,33.0,0.0,223.4815774323546,276.88851879266383,146.88104865813884,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
34,34.0,0.0,341.24877712960614,472.86133555563606,147.12954646053697,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
35,35.0,0.0,92.93299845746152,476.16728631887037,141.24209742017575,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
36,36.0,0.0,19.389121097135813,560.0188762832983,143.85835847724866,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
37,37.0,0.0,364.86027350717745,59.043998980718584,146.71332856452682,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
38,38.0,0.0,221.6246151535631,352.0406247653375,153.77954060873532,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
39,39.0,0.0,128.15115583897966,398.0607313670785,152.8777836889567,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
40,40.0,0.0,278.6973069788268,517.8788460308322,155.88870091555532,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
41,41.0,0.0,297.6575993091537,626.3061312607945,158.70959869504458,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
42,42.0,0.0,327.0373394908763,68.4627731471052,149.0995468405047,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
43,43.0,0.0,59.511237252895945,183.68618197419227,157.67599695609636,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
44,44.0,0.0,19.44979780108682,220.5666308606091,156.13438017698425,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
45,45.0,0.0,311.70069495846695,234.86460646434742,158.02712758892523,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
46,46.0,0.0,598.1964926265445,43.568154643284174,160.82650579227672,HL-60KW_SC575_sgFLCN,0,60sec,60sec,20220216.0,HL-60KW_SC575_sgFLCN,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220302.0
