,cell,frame,x,y,z,celltype_x,position,acqtime,aqctime_sec,date,celltype_y,material,concentration,scope,magnification,trial,media,misc,analysis_date
0,0.0,0.0,261.59160356051547,75.07556131260795,7.262479498844343,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
1,1.0,0.0,369.38508971010145,207.86408598467003,3.6033021045553535,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
2,2.0,0.0,331.4706591155561,327.0424147487649,5.101624308034461,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
3,3.0,0.0,583.8143149777081,416.5050006024822,2.450368321567607,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
4,4.0,0.0,509.1083491834459,307.92942874007997,29.00046854925932,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
5,5.0,0.0,506.85343221917435,325.25229435470214,27.29486336119996,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
6,6.0,0.0,443.73442006760547,586.0942169901202,27.039071043516802,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
7,7.0,0.0,508.2458704220362,317.09512421947653,28.485195355311472,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
8,8.0,0.0,542.1571023560465,359.0160328477857,25.66848004643322,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
9,9.0,0.0,443.77027053751533,585.2882865957362,28.205817762069493,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
10,10.0,0.0,508.6743489034937,316.6278147252123,30.02250076303455,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
11,11.0,0.0,432.5568757072241,555.0071466857245,25.741844106621205,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
12,12.0,0.0,353.0717986676535,586.9561641582367,29.882292285161252,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
13,13.0,0.0,353.0779834307722,585.9216979302319,31.19326725987625,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
14,14.0,0.0,350.9739936229574,188.2722200079713,34.236360422942155,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
15,15.0,0.0,353.179821677494,188.8397201546514,35.25520358805016,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
16,16.0,0.0,16.6107893934776,338.46388296251143,53.17207171027704,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
17,17.0,0.0,656.9026761390951,657.0095080391004,56.06397819835811,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
18,18.0,0.0,17.63097294185377,349.46361121642303,55.49849739380275,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
19,19.0,0.0,655.0422577083156,657.8452815764886,57.44796771620055,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
20,20.0,0.0,17.46336843278177,349.4693297676751,56.60841423063998,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
21,21.0,0.0,299.2699010833726,353.82713141780494,49.61438450243925,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
22,22.0,0.0,649.417341018028,659.1202383031573,58.336298525204185,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
23,23.0,0.0,477.0189387171699,315.5433542694575,57.08931375354743,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
24,24.0,0.0,120.54832576883426,458.8337282939042,60.07821554570763,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
25,25.0,0.0,26.230569948186528,579.054796671377,62.06070729529685,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
26,26.0,0.0,36.923707306756896,587.481495188749,61.64355711528728,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
27,27.0,0.0,121.23384286320137,457.85545700956976,62.01346380878709,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
28,28.0,0.0,33.475418725147605,585.0102421978552,62.51789012923814,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
29,29.0,0.0,472.32436347428825,97.83971251880327,62.64844858104068,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
30,30.0,0.0,121.63165160167921,457.4075299723914,63.346211328101546,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
31,31.0,0.0,32.45743893412287,582.4177857671566,63.285990378987755,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
32,32.0,0.0,230.59423575129534,355.5078799654577,65.90743781252496,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
33,33.0,0.0,450.44944261265505,502.7830114617679,71.79156054478811,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
34,34.0,0.0,25.669561409910237,5.819893453988177,72.73913445961583,HL-60KW_SC575_sgControl1,0,60sec,60sec,20220303.0,HL-60KW_SC575_sgControl1,collagen,0.75mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D, 10nMrapamycin,20220308.0
