,cell,celltype,trial,date,position,concentration,average_persistence,activity ($\mu$m/sec),speed ($\mu$m/sec),material
0,0.0,HL-60KW_SC575_sgControl1,1.0,20220208.0,0.0,,0.29444781737403664,0.15386909046087444,0.1974782881467304,HL-60KW_SC575_sgControl1
1,0.0,HL-60KW_SC575_sgControl1,1.0,20220920.0,0.0,,0.1977005934782916,0.06171222030609342,0.06742139733452877,HL-60KW_SC575_sgControl1
2,0.0,HL-60KW_SC575_sgControl1,1.0,20220208.0,1.0,,0.10863280938430067,0.03573456692790986,0.043084195732095557,HL-60KW_SC575_sgControl1
3,0.0,HL-60KW_SC575_sgControl1,1.0,20220215.0,1.0,,0.2774807233042467,0.11148073513252338,0.13278368872114105,HL-60KW_SC575_sgControl1
4,0.0,HL-60KW_SC575_sgControl1,1.0,20220920.0,1.0,,0.10235672917890842,0.12112518727937928,0.14542210270593242,HL-60KW_SC575_sgControl1
5,0.0,HL-60KW_SC575_sgControl1,1.0,20211126,1.0,,0.44532165670344726,0.18611298014965894,0.24492726189750383,HL-60KW_SC575_sgControl1
6,0.0,HL-60KW_SC575_sgControl1,1.0,20220215.0,2.0,,0.4581939719481882,0.09512517520340917,0.12632372176581713,HL-60KW_SC575_sgControl1
7,0.0,HL-60KW_SC575_sgControl1,1.0,20211126,2.0,,0.4961413438994461,0.11664018269658225,0.15923232077630667,HL-60KW_SC575_sgControl1
8,0.0,HL-60KW_SC575_sgControl1,1.0,20220208.0,3.0,,0.4167818531618069,0.1342692580217773,0.20979140073206917,HL-60KW_SC575_sgControl1
9,0.0,HL-60KW_SC575_sgControl1,1.0,20220215.0,3.0,,0.3710913153692203,0.09228517086068579,0.11606895873955789,HL-60KW_SC575_sgControl1
10,0.0,HL-60KW_SC575_sgControl1,1.0,20220920.0,3.0,,0.626432993015101,0.16133754514129792,0.27544361758046204,HL-60KW_SC575_sgControl1
11,0.0,HL-60KW_SC575_sgControl1,2.0,20211209,0.0,,0.5765236314279263,0.21431209920666988,0.3217068780238894,HL-60KW_SC575_sgControl1
12,0.0,HL-60KW_SC575_sgControl1,2.0,20211209,1.0,,0.5672053317365947,0.16766212079209994,0.2608869880529086,HL-60KW_SC575_sgControl1
13,0.0,HL-60KW_SC575_sgControl1,3.0,20211209,2.0,,0.46042271991536415,0.1920047618360924,0.2753395185063144,HL-60KW_SC575_sgControl1
14,1.0,HL-60KW_SC575_sgControl1,1.0,20220208.0,0.0,,0.04685239276446383,0.06580600643767372,0.08035526623585164,HL-60KW_SC575_sgControl1
15,1.0,HL-60KW_SC575_sgControl1,1.0,20220920.0,0.0,,0.4975295386109545,0.13652028392424323,0.19650272271574384,HL-60KW_SC575_sgControl1
16,1.0,HL-60KW_SC575_sgControl1,1.0,20220208.0,1.0,,0.5290298463548484,0.1581983254239338,0.23931125439740886,HL-60KW_SC575_sgControl1
17,1.0,HL-60KW_SC575_sgControl1,1.0,20220215.0,1.0,,0.3543465238619393,0.12219497663620453,0.16402432211939796,HL-60KW_SC575_sgControl1
18,1.0,HL-60KW_SC575_sgControl1,1.0,20220920.0,1.0,,0.38267287587627635,0.11085165844028042,0.1374300900459301,HL-60KW_SC575_sgControl1
19,1.0,HL-60KW_SC575_sgControl1,1.0,20220208.0,2.0,,0.5561881927655153,0.08374403501225322,0.12081366523303105,HL-60KW_SC575_sgControl1
