,cell,celltype,trial,date,position,concentration,average_persistence,activity ($\mu$m/sec),speed ($\mu$m/sec),material
0,0.0,HL-60KW_SC575_sgGIT2,1.0,20211126,0.0,,0.1198472316924386,0.08011350206951623,0.11156577762071447,HL-60KW_SC575_sgGIT2
1,0.0,HL-60KW_SC575_sgGIT2,1.0,20220920.0,1.0,,0.1898385701078355,0.16937077284522495,0.21139647305076928,HL-60KW_SC575_sgGIT2
2,0.0,HL-60KW_SC575_sgGIT2,1.0,20211126,1.0,,0.4483935950387368,0.1226735306914226,0.1652195553828585,HL-60KW_SC575_sgGIT2
3,0.0,HL-60KW_SC575_sgGIT2,1.0,20211126,3.0,,0.4159549513816438,0.15757635592376193,0.20950554328815327,HL-60KW_SC575_sgGIT2
4,0.0,HL-60KW_SC575_sgGIT2,2.0,20220920.0,0.0,,0.5095033854435298,0.19020386864436026,0.29415644576523275,HL-60KW_SC575_sgGIT2
5,0.0,HL-60KW_SC575_sgGIT2,2.0,20220920.0,1.0,,0.4334706196237271,0.11752303335631817,0.171598814098097,HL-60KW_SC575_sgGIT2
6,0.0,HL-60KW_SC575_sgGIT2,4.0,20220920.0,0.0,,0.4776200171363119,0.15464056484469935,0.22868093066391637,HL-60KW_SC575_sgGIT2
7,0.0,HL-60KW_SC575_sgGIT2,4.0,20220920.0,2.0,,0.45961189807372266,0.21008190438107424,0.30499808969022063,HL-60KW_SC575_sgGIT2
8,0.0,HL-60KW_SC575_sgGIT2,4.0,20220920.0,3.0,,0.649085306494632,0.1897788750984624,0.3326608486986391,HL-60KW_SC575_sgGIT2
9,0.0,HL-60KW_SC575_sgGIT2,4.0,20220920.0,4.0,,0.35126466972755577,0.10257970848643705,0.13841455310480408,HL-60KW_SC575_sgGIT2
10,0.0,HL-60KW_SC575_sgGIT2,5.0,20220920.0,0.0,,0.04709436885812387,0.14134063518622322,0.1766375361015458,HL-60KW_SC575_sgGIT2
11,0.0,HL-60KW_SC575_sgGIT2,5.0,20220920.0,1.0,,0.5857565227380728,0.1802980929569317,0.29371847457194855,HL-60KW_SC575_sgGIT2
12,0.0,HL-60KW_SC575_sgGIT2,5.0,20220920.0,4.0,,0.5042583883567967,0.15413293128718877,0.2536690572249061,HL-60KW_SC575_sgGIT2
13,0.0,HL-60KW_SC575_sgGIT2,6.0,20220920.0,3.0,,0.4327016114404927,0.15948957424329008,0.23761314085089819,HL-60KW_SC575_sgGIT2
14,1.0,HL-60KW_SC575_sgGIT2,1.0,20220920.0,0.0,,0.32515429539632523,0.14750210906204506,0.19446179404023622,HL-60KW_SC575_sgGIT2
