,cell,celltype,frame,Vx ($\mu$m/sec),Vy ($\mu$m/sec),Vz ($\mu$m/sec),speed ($\mu$m/sec),trial,date,position,concentration,material,persistence,activity ($\mu$m/sec)
0,1.0,HL-60KW_SC575_sgFMNL1,0.0,0.05861976993144822,-0.03996934751909435,0.07188718469359122,0.10100293803196296,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,-0.3130757744695734,0.041284588732112854
1,1.0,HL-60KW_SC575_sgFMNL1,1.0,0.01948240601423284,0.050263681325178784,-0.037054694827085774,0.06541446486207007,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,-0.31870390455211384,0.03323863900149015
2,1.0,HL-60KW_SC575_sgFMNL1,2.0,-0.005336420530552269,-0.021321025330814317,0.009371965053997577,0.023893455886695784,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,-0.30701798647715156,0.03338751993611697
3,1.0,HL-60KW_SC575_sgFMNL1,3.0,-0.008109764070036362,-0.008773747330304596,-0.004508440767946631,0.012770002100460398,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,-0.23079051661040761,0.051095710243315044
4,1.0,HL-60KW_SC575_sgFMNL1,4.0,0.06685886823135737,-0.06204044826857143,-0.060678114795657954,0.10954888907560104,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,-0.2476517379595176,0.04829378301404689
5,1.0,HL-60KW_SC575_sgFMNL1,5.0,-0.03250331634856896,0.025918159071691586,0.06425663164653207,0.0765318969703402,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,-0.24513028171895127,0.048508723323483306
6,1.0,HL-60KW_SC575_sgFMNL1,6.0,-0.0026769811500647243,0.026279026045362742,-0.03883816702983474,0.04696974192187985,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,-0.1765883085219755,0.05974347827735171
7,1.0,HL-60KW_SC575_sgFMNL1,7.0,-0.014206688312879124,0.003907458078301337,0.1116600317973651,0.1126279757539909,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.19645422522264616,0.11341573329493719
8,1.0,HL-60KW_SC575_sgFMNL1,8.0,0.11267899474592392,0.14726068228639283,0.09296255354410803,0.20742299960671437,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.1863340270534644,0.062370812516589685
9,1.0,HL-60KW_SC575_sgFMNL1,9.0,0.0026828940087350855,0.01754858431774598,0.027057004275808913,0.03236096741755859,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.17883989752000026,0.06122001953840743
10,1.0,HL-60KW_SC575_sgFMNL1,10.0,-0.021227263370145504,-0.022715966123902358,-0.05083641790476794,0.05958987508391011,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.18930359200924973,0.06189037477948253
11,1.0,HL-60KW_SC575_sgFMNL1,11.0,-0.026215610471153165,-0.09278941985124475,0.019640051549285786,0.09840155635742968,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.19570052057869292,0.06177695761402777
12,1.0,HL-60KW_SC575_sgFMNL1,12.0,-0.03418514312043328,-0.08102025024239386,0.01375375256977982,0.08900601479257092,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.18565692753807866,0.0627429238892288
13,1.0,HL-60KW_SC575_sgFMNL1,13.0,0.010154167900417595,0.09440257728076963,0.024788305163096307,0.09812957656007867,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.19187101342722535,0.0630034223038386
14,1.0,HL-60KW_SC575_sgFMNL1,14.0,0.004531920420893698,0.03626062075984701,0.024509858512412327,0.04400118276693517,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.18653377587233197,0.0640670380196252
15,1.0,HL-60KW_SC575_sgFMNL1,15.0,-0.007008599261820336,-0.06223846231991151,-0.0062159508023669945,0.06293953209182032,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.20394802142699567,0.06737540727730464
16,1.0,HL-60KW_SC575_sgFMNL1,16.0,0.09300354551916143,-0.15359593541907846,0.033940879091199486,0.18273848562872538,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.20368293087650588,0.06706649447743768
17,1.0,HL-60KW_SC575_sgFMNL1,17.0,0.0576745956998271,-0.020657674382461265,0.06481282276824997,0.08918408207308574,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.20319258823730335,0.06794390748913082
18,1.0,HL-60KW_SC575_sgFMNL1,18.0,-0.04565675637355469,-0.030272510997419032,0.010960801411204457,0.05586683714171444,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.20328870968116466,0.07019677269879568
19,1.0,HL-60KW_SC575_sgFMNL1,19.0,-0.07938371292479,0.1255360133379876,-0.12788681912313335,0.19600026282623678,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.20654367287744754,0.0698797776011894
20,1.0,HL-60KW_SC575_sgFMNL1,20.0,-0.05702891907356597,0.1656549561570813,0.02461130995409834,0.17691686942674678,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.2060776407913274,0.06963771892513976
21,1.0,HL-60KW_SC575_sgFMNL1,21.0,-0.00905006251852285,0.11372296878907615,0.10885626861947297,0.15768482640871065,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.20354261683543062,0.06950992088870102
22,1.0,HL-60KW_SC575_sgFMNL1,22.0,-0.08552126550248147,0.101018504679152,0.0036317288062492755,0.13240775881676994,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.11958607472416956,0.06490189202277591
23,1.0,HL-60KW_SC575_sgFMNL1,23.0,0.07301139825013271,-0.0888051784408186,-0.0064529847738449796,0.11514627655654606,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.18716668694423527,0.06910916479155366
24,1.0,HL-60KW_SC575_sgFMNL1,24.0,-0.034491265321412355,-0.007534617980244699,-0.13008879333869483,0.1347943322395194,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.19097059759266366,0.0671634087564904
25,1.0,HL-60KW_SC575_sgFMNL1,25.0,-0.04406370221251166,0.02810133443208258,-0.05734403703282188,0.07758629668155519,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.18735605004619077,0.0669080028048885
26,1.0,HL-60KW_SC575_sgFMNL1,26.0,-0.05840498109587126,-0.00015969602782301234,-0.007097454969496534,0.05883486370065297,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.15684358556710662,0.07286767661748599
27,1.0,HL-60KW_SC575_sgFMNL1,27.0,0.13320226480275987,-0.04182723453291336,0.13664624969055647,0.1953575144491499,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.2094466788629097,0.061655650781781854
28,1.0,HL-60KW_SC575_sgFMNL1,28.0,0.08128458489137529,-0.008593447412270432,0.06832421917133295,0.10653276493531459,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.203962714684282,0.060446005230418313
29,1.0,HL-60KW_SC575_sgFMNL1,29.0,0.017730971864564064,0.009892829841453477,0.04029468421271289,0.04512113719019245,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.1953427222786407,0.06046808715574821
30,1.0,HL-60KW_SC575_sgFMNL1,30.0,0.055343486043093054,0.0018830413913282957,-0.006475253132911263,0.05575281334084199,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.16771170857563034,0.058578386071945904
31,1.0,HL-60KW_SC575_sgFMNL1,31.0,-0.019044788935745297,0.0008832439589265088,-0.0005249678587547398,0.01907248533229983,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.16837809167304393,0.06386234512772161
32,1.0,HL-60KW_SC575_sgFMNL1,32.0,0.0882623300554163,-0.0533594596030009,0.02664108101377612,0.10652332154752832,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.16882863748276705,0.06358338352398037
33,1.0,HL-60KW_SC575_sgFMNL1,33.0,-0.0020724724401863645,-0.000837421600728779,-0.01563110496089178,0.015790119038535295,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.16741987317142715,0.06466712949346011
34,1.0,HL-60KW_SC575_sgFMNL1,34.0,-0.017247770982772675,0.04639357947996008,0.01142738343644183,0.05079798138746277,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.1624394903190164,0.06945170314949048
35,1.0,HL-60KW_SC575_sgFMNL1,35.0,-0.13302494004664897,-0.05348927865369433,-0.0192160193965357,0.14465819370763328,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.1618393984161667,0.07080191999476045
36,1.0,HL-60KW_SC575_sgFMNL1,36.0,0.06150400061930081,-0.1854315605084338,-0.008201620849267736,0.19553739363438147,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.1611292024055064,0.07013200582419568
37,1.0,HL-60KW_SC575_sgFMNL1,37.0,-0.014171530950504045,-0.012086086479457473,0.003740158715932888,0.018997225141856575,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.15982195691948686,0.07123894036109125
38,1.0,HL-60KW_SC575_sgFMNL1,38.0,0.02942183785142826,0.13338890276357868,-0.1370048687651398,0.19346466857899494,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.16028012831053226,0.07075772833009873
39,1.0,HL-60KW_SC575_sgFMNL1,39.0,0.028998019957937042,-0.018161080422711962,-0.12087166796266627,0.12562113723286447,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.15887562504339375,0.07063258559170353
40,1.0,HL-60KW_SC575_sgFMNL1,40.0,-0.008829490092804804,-0.045858104808975494,-0.06978556091310484,0.08396993619103557,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.1540770145621976,0.07103076292027755
41,1.0,HL-60KW_SC575_sgFMNL1,41.0,-0.015541849254382593,0.12641258054761076,0.09161238505585079,0.1568901484943322,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.15570474933112682,0.07063310223624
42,1.0,HL-60KW_SC575_sgFMNL1,42.0,-0.02800421036314257,0.041330284532862534,0.04251181108396646,0.0655719627529127,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.15297293489699315,0.07090051775446923
43,1.0,HL-60KW_SC575_sgFMNL1,43.0,0.015170100962466411,-0.09844364382449745,-0.03063506178584395,0.10421031610775593,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.15324822724062886,0.0714394935126601
44,1.0,HL-60KW_SC575_sgFMNL1,44.0,0.09731688679312829,-0.08665557882206514,0.13850030827580775,0.19016335395808381,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.15144624882203364,0.0707519498450192
45,1.0,HL-60KW_SC575_sgFMNL1,45.0,0.013661588480599108,0.029316729058888314,-0.037711751894084954,0.049681846115523176,2.0,20220428.0,0.0,0.75mgml,HL-60KW_SC575_sgFMNL1,0.1538041066466968,0.07325393663052573
