,cell,celltype,trial,date,position,concentration,average_persistence,activity ($\mu$m/sec),speed ($\mu$m/sec),material
0,0.0,HL-60KW_SC575_sgControl1,2.0,20220214.0,0.0,0.75mgml,0.18050482999527764,0.07309616177409888,0.11316286249399596,HL-60KW_SC575_sgControl1
1,2.0,HL-60KW_SC575_sgControl1,2.0,20220214.0,0.0,0.75mgml,-0.10160587104045185,0.07976924632570218,0.1167930893562233,HL-60KW_SC575_sgControl1
2,2.0,HL-60KW_SC575_sgControl1,2.0,20220426.0,0.0,0.75mgml,0.3506978927088506,0.07826916204174059,0.12920627372915947,HL-60KW_SC575_sgControl1
3,3.0,HL-60KW_SC575_sgControl1,1.0,20220215.0,0.0,0.75mgml,0.505228133412044,0.10764987976264913,0.19858767910797576,HL-60KW_SC575_sgControl1
4,3.0,HL-60KW_SC575_sgControl1,2.0,20220216.0,0.0,0.75mgml,0.35722156805940947,0.05887594494350303,0.09805983963731181,HL-60KW_SC575_sgControl1
5,4.0,HL-60KW_SC575_sgControl1,1.0,20220215.0,0.0,0.75mgml,0.22741515220498495,0.09368362144512747,0.14970870965727298,HL-60KW_SC575_sgControl1
6,4.0,HL-60KW_SC575_sgControl1,1.0,20220216.0,0.0,0.75mgml,0.13288027913726805,0.059377675228497594,0.08506952099560175,HL-60KW_SC575_sgControl1
7,4.0,HL-60KW_SC575_sgControl1,2.0,20220214.0,0.0,0.75mgml,0.1760234058609492,0.051848086641655036,0.08727622842236611,HL-60KW_SC575_sgControl1
8,4.0,HL-60KW_SC575_sgControl1,2.0,20220426.0,0.0,0.75mgml,0.31611239560402105,0.057874301768924254,0.09158278476401914,HL-60KW_SC575_sgControl1
9,5.0,HL-60KW_SC575_sgControl1,1.0,20220215.0,0.0,0.75mgml,0.4932041664783757,0.08605897999403755,0.1561364386335221,HL-60KW_SC575_sgControl1
10,5.0,HL-60KW_SC575_sgControl1,1.0,20220216.0,0.0,0.75mgml,0.4727533751115506,0.08557303082820096,0.1534720121540219,HL-60KW_SC575_sgControl1
