,cell,celltype,trial,date,position,concentration,average_persistence,activity ($\mu$m/sec),speed ($\mu$m/sec),material
0,0.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.518525245554458,0.0728369954401342,0.12851461431040148,HL-60KW_SC575_sgITGB2
1,1.0,HL-60KW_SC575_sgITGB2,1.0,20220316.0,0.0,0.75mgml,0.291139490559266,0.09645008363404609,0.16211000776694828,HL-60KW_SC575_sgITGB2
2,2.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.07377262857428028,0.07155407942469974,0.10898744697835741,HL-60KW_SC575_sgITGB2
3,4.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.33969154576693217,0.10828157988764797,0.17636118001566894,HL-60KW_SC575_sgITGB2
4,5.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,-0.0660205795669747,0.06979053474631174,0.10718996485172205,HL-60KW_SC575_sgITGB2
5,7.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.23281367847087073,0.08238454509387519,0.1308836991270293,HL-60KW_SC575_sgITGB2
6,7.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.5528226345333193,0.08034145757267065,0.15640240935349864,HL-60KW_SC575_sgITGB2
7,8.0,HL-60KW_SC575_sgITGB2,2.0,20220316.0,0.0,0.75mgml,0.3697815599118962,0.05717902966796157,0.09514359702394247,HL-60KW_SC575_sgITGB2
8,9.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.32612627917250303,0.08571545325236112,0.138243653461229,HL-60KW_SC575_sgITGB2
9,9.0,HL-60KW_SC575_sgITGB2,2.0,20220316.0,0.0,0.75mgml,0.3150083001323583,0.08477216194216051,0.14227890020555384,HL-60KW_SC575_sgITGB2
10,10.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.3262942744520652,0.0964597077977364,0.15660212372619484,HL-60KW_SC575_sgITGB2
11,10.0,HL-60KW_SC575_sgITGB2,1.0,20220316.0,0.0,0.75mgml,-0.04335401588076917,0.06277864565851218,0.09031031113521273,HL-60KW_SC575_sgITGB2
12,10.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.3067594500821082,0.08738441298629299,0.14299593916447664,HL-60KW_SC575_sgITGB2
13,11.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.14873067901772855,0.07617661558267975,0.12170138709018591,HL-60KW_SC575_sgITGB2
14,11.0,HL-60KW_SC575_sgITGB2,2.0,20220316.0,0.0,0.75mgml,0.41325119137221344,0.07230507430285617,0.12022353973171797,HL-60KW_SC575_sgITGB2
15,11.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.14902661693524974,0.11383534562830823,0.17598590311353374,HL-60KW_SC575_sgITGB2
16,13.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,-0.022734515006121205,0.08133488781213066,0.12223566982132257,HL-60KW_SC575_sgITGB2
17,14.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.4618626607650216,0.07215243035607445,0.12355610851685844,HL-60KW_SC575_sgITGB2
18,15.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.2821067757537449,0.07748774580791493,0.12792411831904357,HL-60KW_SC575_sgITGB2
19,16.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.3352611607020885,0.05791993848179009,0.09377703162202823,HL-60KW_SC575_sgITGB2
20,16.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.5034452031611917,0.057695520228664705,0.10234928147709994,HL-60KW_SC575_sgITGB2
21,17.0,HL-60KW_SC575_sgITGB2,2.0,20220316.0,0.0,0.75mgml,0.17443469076174392,0.07844578234596317,0.11969664957265151,HL-60KW_SC575_sgITGB2
22,17.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.2204881882181295,0.08812745025820098,0.1396898411243676,HL-60KW_SC575_sgITGB2
23,18.0,HL-60KW_SC575_sgITGB2,2.0,20220316.0,0.0,0.75mgml,0.37834402015585306,0.0972245005987486,0.1650804008955287,HL-60KW_SC575_sgITGB2
24,19.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.28225400165479014,0.08275865863117338,0.13392755733510078,HL-60KW_SC575_sgITGB2
25,19.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.4331045540091844,0.0785263668003042,0.13401099962736487,HL-60KW_SC575_sgITGB2
26,20.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.17215504590320696,0.09034264948075173,0.1500964665274886,HL-60KW_SC575_sgITGB2
27,22.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.4324441208502016,0.08760411396324846,0.1527950371743529,HL-60KW_SC575_sgITGB2
28,22.0,HL-60KW_SC575_sgITGB2,1.0,20220316.0,0.0,0.75mgml,-0.07795320136945408,0.03350289992971914,0.04809192826344473,HL-60KW_SC575_sgITGB2
29,23.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.28427116026210747,0.06929291723886608,0.1081771696302959,HL-60KW_SC575_sgITGB2
30,24.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.3235549820919706,0.08808139868270609,0.1422536115165032,HL-60KW_SC575_sgITGB2
31,24.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.30564819210690675,0.08537991288294128,0.13523692793581057,HL-60KW_SC575_sgITGB2
32,25.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.11517686518825201,0.08278246982077755,0.12068074997778823,HL-60KW_SC575_sgITGB2
33,27.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.3413787331015739,0.11636486092122524,0.19186685401642264,HL-60KW_SC575_sgITGB2
34,28.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.23732359845353715,0.0767738048340642,0.1215307691062219,HL-60KW_SC575_sgITGB2
35,29.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.16948256333725759,0.06125496417352558,0.09706902275823215,HL-60KW_SC575_sgITGB2
36,30.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.5031743975497329,0.07161639268764658,0.12677000367683589,HL-60KW_SC575_sgITGB2
37,31.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.30438337712364294,0.09134229031289959,0.15056026140105414,HL-60KW_SC575_sgITGB2
38,31.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.4579301613003305,0.09474521793548071,0.17018835593529588,HL-60KW_SC575_sgITGB2
39,33.0,HL-60KW_SC575_sgITGB2,1.0,20220316.0,0.0,0.75mgml,-0.11184713913264656,0.03417174229354543,0.05924931328619978,HL-60KW_SC575_sgITGB2
40,33.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.41232812453249484,0.08265952205966806,0.14274607076787785,HL-60KW_SC575_sgITGB2
41,34.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.3177196421012017,0.08212789317849829,0.1318109982105918,HL-60KW_SC575_sgITGB2
42,34.0,HL-60KW_SC575_sgITGB2,2.0,20220316.0,0.0,0.75mgml,0.1454375635579477,0.097744830186204,0.14567206229443294,HL-60KW_SC575_sgITGB2
43,34.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,-0.18655051850315357,0.03499392204187163,0.05976965581405463,HL-60KW_SC575_sgITGB2
44,35.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.35188405729827177,0.08464778401858448,0.14210863313756797,HL-60KW_SC575_sgITGB2
45,36.0,HL-60KW_SC575_sgITGB2,2.0,20220316.0,0.0,0.75mgml,0.1974974317071791,0.0903631520909674,0.14167613058022974,HL-60KW_SC575_sgITGB2
46,37.0,HL-60KW_SC575_sgITGB2,2.0,20220316.0,0.0,0.75mgml,0.1516775231390586,0.09466214346849619,0.1505537999101577,HL-60KW_SC575_sgITGB2
47,38.0,HL-60KW_SC575_sgITGB2,3.0,20220216.0,0.0,0.75mgml,0.22841526152443645,0.07232681943099542,0.1146915069567525,HL-60KW_SC575_sgITGB2
48,39.0,HL-60KW_SC575_sgITGB2,1.0,20220216.0,0.0,0.75mgml,0.47432062224451715,0.08118594904338745,0.14218443560458993,HL-60KW_SC575_sgITGB2
49,40.0,HL-60KW_SC575_sgITGB2,1.0,20220316.0,0.0,0.75mgml,0.10397232951573403,0.04361027969096115,0.06974393928479336,HL-60KW_SC575_sgITGB2
