,cell,celltype,trial,date,position,concentration,average_persistence,activity ($\mu$m/sec),speed ($\mu$m/sec),material
0,0.0,HL-60KW_SC575_sgLAMTOR1,1.0,20220215.0,0.0,0.75mgml,-0.02867352454830882,0.07907081047122923,0.11907443317250042,HL-60KW_SC575_sgLAMTOR1
1,1.0,HL-60KW_SC575_sgLAMTOR1,1.0,20220215.0,0.0,0.75mgml,-0.24248436646382182,0.03259598959243067,0.05119928609661247,HL-60KW_SC575_sgLAMTOR1
2,2.0,HL-60KW_SC575_sgLAMTOR1,1.0,20220215.0,0.0,0.75mgml,-0.1864561190222285,0.04227755835439121,0.06309606255218296,HL-60KW_SC575_sgLAMTOR1
3,3.0,HL-60KW_SC575_sgLAMTOR1,1.0,20220215.0,0.0,0.75mgml,0.16008065023677773,0.07114795422573868,0.10641306755448758,HL-60KW_SC575_sgLAMTOR1
4,3.0,HL-60KW_SC575_sgLAMTOR1,3.0,20220214.0,0.0,0.75mgml,-0.062159288882049864,0.04764333241372523,0.07216703563064983,HL-60KW_SC575_sgLAMTOR1
5,4.0,HL-60KW_SC575_sgLAMTOR1,1.0,20220215.0,0.0,0.75mgml,-0.12809071705039485,0.048803778223300814,0.07459733690551956,HL-60KW_SC575_sgLAMTOR1
6,5.0,HL-60KW_SC575_sgLAMTOR1,1.0,20220215.0,0.0,0.75mgml,0.030777330954225503,0.061873336292751754,0.09309963708780558,HL-60KW_SC575_sgLAMTOR1
7,5.0,HL-60KW_SC575_sgLAMTOR1,3.0,20220214.0,0.0,0.75mgml,-0.1630827339845625,0.048155565064308986,0.07212144447313436,HL-60KW_SC575_sgLAMTOR1
8,6.0,HL-60KW_SC575_sgLAMTOR1,1.0,20220215.0,0.0,0.75mgml,0.16051775960826664,0.06491704553401353,0.09770962016846733,HL-60KW_SC575_sgLAMTOR1
9,6.0,HL-60KW_SC575_sgLAMTOR1,3.0,20220214.0,0.0,0.75mgml,-0.05929301353484914,0.07797349950753406,0.1129856920743624,HL-60KW_SC575_sgLAMTOR1
