,cell,celltype,trial,date,position,concentration,average_persistence,activity ($\mu$m/sec),speed ($\mu$m/sec),material
0,1.0,HL-60KW_SC575_sgCORO1A,2.0,20220427.0,0.0,0.75mgml,0.3801168732634258,0.06467241665987067,0.10770942387852117,HL-60KW_SC575_sgCORO1A
1,1.0,HL-60KW_SC575_sgCORO1A,2.0,20220428.0,0.0,0.75mgml,0.48454024001726426,0.07205159507525266,0.1257339778426909,HL-60KW_SC575_sgCORO1A
2,2.0,HL-60KW_SC575_sgCORO1A,1.0,20220428.0,0.0,0.75mgml,0.23824557427258497,0.06290098829552573,0.09794859785739407,HL-60KW_SC575_sgCORO1A
3,2.0,HL-60KW_SC575_sgCORO1A,2.0,20220426.0,0.0,0.75mgml,0.16197100869492517,0.06172155390857453,0.09214540463049511,HL-60KW_SC575_sgCORO1A
4,4.0,HL-60KW_SC575_sgCORO1A,1.0,20220425.0,0.0,0.75mgml,0.052670203603497216,0.014902111010046494,0.023045742651581422,HL-60KW_SC575_sgCORO1A
5,4.0,HL-60KW_SC575_sgCORO1A,1.0,20220428.0,0.0,0.75mgml,0.46547355510521055,0.046515783983927694,0.07742691437544275,HL-60KW_SC575_sgCORO1A
6,4.0,HL-60KW_SC575_sgCORO1A,2.0,20220426.0,0.0,0.75mgml,0.41867208911240295,0.045168848432285455,0.07385952528986021,HL-60KW_SC575_sgCORO1A
7,5.0,HL-60KW_SC575_sgCORO1A,1.0,20220426.0,0.0,0.75mgml,0.16575027416558766,0.06694383015765187,0.09956142703352681,HL-60KW_SC575_sgCORO1A
8,5.0,HL-60KW_SC575_sgCORO1A,2.0,20220426.0,0.0,0.75mgml,0.11423497276206501,0.07011128460781503,0.10765755954155262,HL-60KW_SC575_sgCORO1A
9,5.0,HL-60KW_SC575_sgCORO1A,2.0,20220427.0,0.0,0.75mgml,-0.1543586874740087,0.06115635398721059,0.09236740252553075,HL-60KW_SC575_sgCORO1A
10,6.0,HL-60KW_SC575_sgCORO1A,2.0,20220426.0,0.0,0.75mgml,0.24934080502706485,0.08679245534714933,0.1356675237659448,HL-60KW_SC575_sgCORO1A
11,8.0,HL-60KW_SC575_sgCORO1A,1.0,20220426.0,0.0,0.75mgml,0.20363302202389577,0.042467745727880986,0.06626387750300514,HL-60KW_SC575_sgCORO1A
12,8.0,HL-60KW_SC575_sgCORO1A,1.0,20220428.0,0.0,0.75mgml,-0.06806410488640262,0.051067129256135116,0.07513942485356731,HL-60KW_SC575_sgCORO1A
13,9.0,HL-60KW_SC575_sgCORO1A,1.0,20220426.0,0.0,0.75mgml,0.09417510216432888,0.024764222547987456,0.03650121307010034,HL-60KW_SC575_sgCORO1A
14,9.0,HL-60KW_SC575_sgCORO1A,2.0,20220427.0,0.0,0.75mgml,0.16951702744074462,0.0507512263286133,0.07253745902449446,HL-60KW_SC575_sgCORO1A
15,9.0,HL-60KW_SC575_sgCORO1A,2.0,20220428.0,0.0,0.75mgml,0.30241998046047175,0.06359736419483307,0.10285620915332085,HL-60KW_SC575_sgCORO1A
16,10.0,HL-60KW_SC575_sgCORO1A,2.0,20220427.0,0.0,0.75mgml,0.5102707231188603,0.08213396202333823,0.14718106675420278,HL-60KW_SC575_sgCORO1A
17,11.0,HL-60KW_SC575_sgCORO1A,1.0,20220426.0,0.0,0.75mgml,-0.016718475079065223,0.02402796776637337,0.03701278476384635,HL-60KW_SC575_sgCORO1A
18,11.0,HL-60KW_SC575_sgCORO1A,2.0,20220426.0,0.0,0.75mgml,0.3052749347422169,0.05966211003636104,0.09346892084447114,HL-60KW_SC575_sgCORO1A
19,11.0,HL-60KW_SC575_sgCORO1A,2.0,20220427.0,0.0,0.75mgml,0.4130064458335259,0.08224841171140208,0.1421237597123972,HL-60KW_SC575_sgCORO1A
