,cell,celltype,trial,date,position,concentration,average_persistence,activity ($\mu$m/sec),speed ($\mu$m/sec),material
0,1.0,HL-60KW_SC575_sgFLCN,1.0,20220216.0,0.0,0.75mgml,-0.007804772681148813,0.03454943033882406,0.05119351427144522,HL-60KW_SC575_sgFLCN
1,2.0,HL-60KW_SC575_sgFLCN,1.0,20220216.0,0.0,0.75mgml,0.23837933702595215,0.07336627776469527,0.11446742103379252,HL-60KW_SC575_sgFLCN
2,3.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,0.28184726719215675,0.1125616161243275,0.18572300426557342,HL-60KW_SC575_sgFLCN
3,3.0,HL-60KW_SC575_sgFLCN,1.0,20220216.0,0.0,0.75mgml,0.27915471849572243,0.08129488543102466,0.12884036020607037,HL-60KW_SC575_sgFLCN
4,3.0,HL-60KW_SC575_sgFLCN,2.0,20220215.0,0.0,0.75mgml,0.287151050171291,0.09938409831784317,0.1550763629818617,HL-60KW_SC575_sgFLCN
5,4.0,HL-60KW_SC575_sgFLCN,2.0,20220215.0,0.0,0.75mgml,0.24770687909353345,0.07783773845389784,0.12032937166163886,HL-60KW_SC575_sgFLCN
6,5.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,0.03836410567431142,0.09294817825338418,0.13940712490486437,HL-60KW_SC575_sgFLCN
7,6.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,-0.32021509458498754,0.04258355096898831,0.0678949892770905,HL-60KW_SC575_sgFLCN
8,6.0,HL-60KW_SC575_sgFLCN,2.0,20220215.0,0.0,0.75mgml,0.19734183240888098,0.09640118196052457,0.15547506377719944,HL-60KW_SC575_sgFLCN
9,7.0,HL-60KW_SC575_sgFLCN,1.0,20220216.0,0.0,0.75mgml,0.4179592261309995,0.062475290777986,0.10281790279457216,HL-60KW_SC575_sgFLCN
10,7.0,HL-60KW_SC575_sgFLCN,2.0,20220215.0,0.0,0.75mgml,-0.11953692555621134,0.038892123336343405,0.058575975071638434,HL-60KW_SC575_sgFLCN
11,8.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,-0.061644908295370546,0.03932868204416627,0.0579271582235137,HL-60KW_SC575_sgFLCN
12,9.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,0.11910284330354798,0.06824110699940797,0.10525763810202454,HL-60KW_SC575_sgFLCN
13,9.0,HL-60KW_SC575_sgFLCN,1.0,20220216.0,0.0,0.75mgml,-0.2035382517687759,0.06957195490486717,0.10635747020219041,HL-60KW_SC575_sgFLCN
14,10.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,0.2865894675866279,0.05275703004734549,0.08597481206991521,HL-60KW_SC575_sgFLCN
15,12.0,HL-60KW_SC575_sgFLCN,2.0,20220215.0,0.0,0.75mgml,-0.2165111889935057,0.07959264488337499,0.12078362161979334,HL-60KW_SC575_sgFLCN
16,13.0,HL-60KW_SC575_sgFLCN,2.0,20220215.0,0.0,0.75mgml,0.04793097100198137,0.08522445483226547,0.13162162490844245,HL-60KW_SC575_sgFLCN
17,14.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,0.20531001945869953,0.05726459779824148,0.09158951714550743,HL-60KW_SC575_sgFLCN
18,14.0,HL-60KW_SC575_sgFLCN,1.0,20220216.0,0.0,0.75mgml,0.04304109173699197,0.0538364522394391,0.08595404098209872,HL-60KW_SC575_sgFLCN
19,15.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,0.09677919493935641,0.060417235718198396,0.09463560818436356,HL-60KW_SC575_sgFLCN
20,16.0,HL-60KW_SC575_sgFLCN,1.0,20220216.0,0.0,0.75mgml,0.36934841206571456,0.08511456977663702,0.1400024934064247,HL-60KW_SC575_sgFLCN
21,16.0,HL-60KW_SC575_sgFLCN,2.0,20220215.0,0.0,0.75mgml,-0.02184144078157828,0.04115142414581091,0.06604251375550176,HL-60KW_SC575_sgFLCN
22,18.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,-0.3271089673034775,0.053635259465445694,0.08576386962497698,HL-60KW_SC575_sgFLCN
23,19.0,HL-60KW_SC575_sgFLCN,1.0,20220215.0,0.0,0.75mgml,0.3358317526265304,0.08132834445392888,0.13900071615139045,HL-60KW_SC575_sgFLCN
