,cell,celltype,trial,date,position,concentration,average_persistence,activity ($\mu$m/sec),speed ($\mu$m/sec),material
0,1.0,HL-60KW_SC575_sgFMNL1,2.0,20220428.0,0.0,0.75mgml,0.11636426681104226,0.06482863099009319,0.09758023829844259,HL-60KW_SC575_sgFMNL1
1,2.0,HL-60KW_SC575_sgFMNL1,2.0,20220428.0,0.0,0.75mgml,0.260614794002778,0.05690880544736342,0.09121089298386717,HL-60KW_SC575_sgFMNL1
2,3.0,HL-60KW_SC575_sgFMNL1,1.0,20220428.0,0.0,0.75mgml,0.3597434628527961,0.0338162258871393,0.05830653645157936,HL-60KW_SC575_sgFMNL1
3,5.0,HL-60KW_SC575_sgFMNL1,1.0,20220425.0,0.0,0.75mgml,0.09283007301545301,0.029496644300053127,0.04603193174721562,HL-60KW_SC575_sgFMNL1
4,5.0,HL-60KW_SC575_sgFMNL1,1.0,20220428.0,0.0,0.75mgml,-0.08893264260750543,0.054721181132197094,0.0853972384713694,HL-60KW_SC575_sgFMNL1
5,5.0,HL-60KW_SC575_sgFMNL1,2.0,20220428.0,0.0,0.75mgml,0.12137111181677146,0.0576735517851327,0.08955192924343436,HL-60KW_SC575_sgFMNL1
6,6.0,HL-60KW_SC575_sgFMNL1,1.0,20220425.0,0.0,0.75mgml,-0.266330147994978,0.029874272338682548,0.045735039778993056,HL-60KW_SC575_sgFMNL1
7,6.0,HL-60KW_SC575_sgFMNL1,2.0,20220426.0,0.0,0.75mgml,0.2509667528233957,0.06201963197504071,0.09808467156489915,HL-60KW_SC575_sgFMNL1
8,6.0,HL-60KW_SC575_sgFMNL1,2.0,20220428.0,0.0,0.75mgml,0.33496045163349963,0.061316874786929716,0.09275968054534134,HL-60KW_SC575_sgFMNL1
9,7.0,HL-60KW_SC575_sgFMNL1,2.0,20220428.0,0.0,0.75mgml,0.3261305088017926,0.07187893870412805,0.11051686579643968,HL-60KW_SC575_sgFMNL1
10,8.0,HL-60KW_SC575_sgFMNL1,1.0,20220427.0,0.0,0.75mgml,0.21970009838251983,0.08770873931084834,0.13614090821625446,HL-60KW_SC575_sgFMNL1
11,8.0,HL-60KW_SC575_sgFMNL1,2.0,20220427.0,0.0,0.75mgml,-0.010926402912845322,0.03674166693578891,0.05375489297430788,HL-60KW_SC575_sgFMNL1
12,10.0,HL-60KW_SC575_sgFMNL1,2.0,20220427.0,0.0,0.75mgml,-0.00036320751094906034,0.06284727655226913,0.09620092915022649,HL-60KW_SC575_sgFMNL1
13,10.0,HL-60KW_SC575_sgFMNL1,2.0,20220428.0,0.0,0.75mgml,0.25227904086300745,0.053815660831827254,0.0827266511518369,HL-60KW_SC575_sgFMNL1
14,11.0,HL-60KW_SC575_sgFMNL1,1.0,20220426.0,0.0,0.75mgml,0.19580750819572976,0.03171251262626889,0.0489838703584711,HL-60KW_SC575_sgFMNL1
15,11.0,HL-60KW_SC575_sgFMNL1,2.0,20220427.0,0.0,0.75mgml,0.0053197576328303,0.04605763386260358,0.06745619698464639,HL-60KW_SC575_sgFMNL1
16,12.0,HL-60KW_SC575_sgFMNL1,1.0,20220428.0,0.0,0.75mgml,-0.059989694857924804,0.027696596540092586,0.04279803048787064,HL-60KW_SC575_sgFMNL1
17,12.0,HL-60KW_SC575_sgFMNL1,2.0,20220427.0,0.0,0.75mgml,0.1936728919452302,0.04124623232891839,0.06308194771043349,HL-60KW_SC575_sgFMNL1
18,12.0,HL-60KW_SC575_sgFMNL1,2.0,20220428.0,0.0,0.75mgml,-0.02462150101008158,0.0378237505114117,0.057219417550523566,HL-60KW_SC575_sgFMNL1
19,13.0,HL-60KW_SC575_sgFMNL1,1.0,20220425.0,0.0,0.75mgml,-0.02617555924136971,0.03524975706075946,0.05326655647539137,HL-60KW_SC575_sgFMNL1
20,13.0,HL-60KW_SC575_sgFMNL1,2.0,20220427.0,0.0,0.75mgml,0.17990624768681973,0.062294788815175424,0.0935704678565561,HL-60KW_SC575_sgFMNL1
21,14.0,HL-60KW_SC575_sgFMNL1,2.0,20220428.0,0.0,0.75mgml,0.20628517372989896,0.03984116250661297,0.06260137075217534,HL-60KW_SC575_sgFMNL1
22,15.0,HL-60KW_SC575_sgFMNL1,1.0,20220427.0,0.0,0.75mgml,-0.041418510621247295,0.029763812201562576,0.04578542187818738,HL-60KW_SC575_sgFMNL1
23,16.0,HL-60KW_SC575_sgFMNL1,1.0,20220427.0,0.0,0.75mgml,-0.010475705842757666,0.03206300290633059,0.05076367849308216,HL-60KW_SC575_sgFMNL1
24,16.0,HL-60KW_SC575_sgFMNL1,2.0,20220428.0,0.0,0.75mgml,0.26136071312886977,0.03561051815331603,0.05475557851588759,HL-60KW_SC575_sgFMNL1
