,cell,celltype,trial,date,position,concentration,average_persistence,activity ($\mu$m/sec),speed ($\mu$m/sec),material
0,1.0,HL-60KW_SC575_sgITGA1,3.0,20220317.0,0.0,0.75mgml,0.06037651258522025,0.13138649997078505,0.2003199003094712,HL-60KW_SC575_sgITGA1
1,3.0,HL-60KW_SC575_sgITGA1,2.0,20220316.0,0.0,0.75mgml,0.17177431748352243,0.07717601062190829,0.12138279323546519,HL-60KW_SC575_sgITGA1
2,4.0,HL-60KW_SC575_sgITGA1,3.0,20220317.0,0.0,0.75mgml,0.10788021185118649,0.026000221694275887,0.04447649868145841,HL-60KW_SC575_sgITGA1
3,6.0,HL-60KW_SC575_sgITGA1,1.0,20220316.0,0.0,0.75mgml,0.09368145990179168,0.05026081761887302,0.07284171416793955,HL-60KW_SC575_sgITGA1
4,9.0,HL-60KW_SC575_sgITGA1,2.0,20220317.0,0.0,0.75mgml,0.17921041444259012,0.07599914510936964,0.12052609828526512,HL-60KW_SC575_sgITGA1
5,12.0,HL-60KW_SC575_sgITGA1,1.0,20220316.0,0.0,0.75mgml,-0.1785897843419495,0.05491759948900137,0.0858152095123508,HL-60KW_SC575_sgITGA1
6,13.0,HL-60KW_SC575_sgITGA1,1.0,20220316.0,0.0,0.75mgml,0.2477437094949049,0.0572762371235022,0.08895410794975983,HL-60KW_SC575_sgITGA1
7,15.0,HL-60KW_SC575_sgITGA1,1.0,20220316.0,0.0,0.75mgml,0.20989808726158712,0.07107531617850185,0.10786046985399267,HL-60KW_SC575_sgITGA1
8,15.0,HL-60KW_SC575_sgITGA1,3.0,20220317.0,0.0,0.75mgml,0.01849245934544489,0.10327923402384165,0.15614834636545416,HL-60KW_SC575_sgITGA1
9,16.0,HL-60KW_SC575_sgITGA1,1.0,20220316.0,0.0,0.75mgml,0.0957228133276344,0.07476563503882795,0.11916452591370506,HL-60KW_SC575_sgITGA1
10,16.0,HL-60KW_SC575_sgITGA1,2.0,20220316.0,0.0,0.75mgml,0.43971633373707164,0.07637841512544942,0.12827078892661267,HL-60KW_SC575_sgITGA1
11,17.0,HL-60KW_SC575_sgITGA1,1.0,20220316.0,0.0,0.75mgml,-0.13977731690296843,0.06507030040855942,0.09428908719682337,HL-60KW_SC575_sgITGA1
12,17.0,HL-60KW_SC575_sgITGA1,1.0,20220317.0,0.0,0.75mgml,0.11572503331452141,0.07932866926540623,0.12000865020893475,HL-60KW_SC575_sgITGA1
13,18.0,HL-60KW_SC575_sgITGA1,1.0,20220317.0,0.0,0.75mgml,-0.08215531602147597,0.04740327521132409,0.06387483874221632,HL-60KW_SC575_sgITGA1
14,20.0,HL-60KW_SC575_sgITGA1,2.0,20220316.0,0.0,0.75mgml,0.19847204868348675,0.06530196044513166,0.10372387627881091,HL-60KW_SC575_sgITGA1
15,20.0,HL-60KW_SC575_sgITGA1,3.0,20220317.0,0.0,0.75mgml,-0.07237369767126282,0.03469004653567597,0.048939431570697293,HL-60KW_SC575_sgITGA1
16,21.0,HL-60KW_SC575_sgITGA1,1.0,20220317.0,0.0,0.75mgml,0.10140310044297565,0.07075935392773827,0.10637046189426673,HL-60KW_SC575_sgITGA1
17,21.0,HL-60KW_SC575_sgITGA1,2.0,20220316.0,0.0,0.75mgml,-0.1748047708427466,0.0492204458008089,0.07767696047378664,HL-60KW_SC575_sgITGA1
18,21.0,HL-60KW_SC575_sgITGA1,2.0,20220317.0,0.0,0.75mgml,-0.1156271710334809,0.02571563049377606,0.03956980700228957,HL-60KW_SC575_sgITGA1
19,21.0,HL-60KW_SC575_sgITGA1,3.0,20220317.0,0.0,0.75mgml,-0.0684684794527273,0.046593417279050385,0.06364537317858442,HL-60KW_SC575_sgITGA1
20,23.0,HL-60KW_SC575_sgITGA1,1.0,20220317.0,0.0,0.75mgml,-0.041078865953740426,0.07331750622215533,0.10720692087861071,HL-60KW_SC575_sgITGA1
21,27.0,HL-60KW_SC575_sgITGA1,2.0,20220317.0,0.0,0.75mgml,-0.2438307211121669,0.03033547915583199,0.044872722608056144,HL-60KW_SC575_sgITGA1
22,29.0,HL-60KW_SC575_sgITGA1,2.0,20220316.0,0.0,0.75mgml,0.4686221557384553,0.07723515219994583,0.14469886024364298,HL-60KW_SC575_sgITGA1
23,31.0,HL-60KW_SC575_sgITGA1,2.0,20220317.0,0.0,0.75mgml,-0.28678525595148974,0.04460534317725158,0.0688334320702698,HL-60KW_SC575_sgITGA1
24,32.0,HL-60KW_SC575_sgITGA1,1.0,20220316.0,0.0,0.75mgml,0.13510080721854204,0.07788547274832405,0.11698549394768577,HL-60KW_SC575_sgITGA1
25,32.0,HL-60KW_SC575_sgITGA1,1.0,20220317.0,0.0,0.75mgml,0.06407590706802727,0.07131494289266199,0.10164808909616763,HL-60KW_SC575_sgITGA1
26,34.0,HL-60KW_SC575_sgITGA1,1.0,20220316.0,0.0,0.75mgml,-0.2266506375374754,0.06992669980365512,0.10800782914909317,HL-60KW_SC575_sgITGA1
27,34.0,HL-60KW_SC575_sgITGA1,1.0,20220317.0,0.0,0.75mgml,-0.025192728355402014,0.04965960708574656,0.07353111560222186,HL-60KW_SC575_sgITGA1
