,gene,day_diff,date,count,effective_density_1E6_ml,rapa_nM,trial,cell_line
0,Ctrl1,4.0,20220209,0.7,0.7,0,2.0,sgCtrl1
1,Ctrl1,4.0,20220209,0.65,0.65,0,2.0,sgCtrl1
2,Ctrl1,4.0,20220209,0.61,0.61,0,2.0,sgCtrl1
3,FLCN,4.0,20220209,1.14,1.14,0,2.0,sgFLCN
4,FLCN,4.0,20220209,1.05,1.05,0,2.0,sgFLCN
5,FLCN,4.0,20220209,1.15,1.15,0,2.0,sgFLCN
6,LAMTOR1,4.0,20220209,0.6,0.6,0,2.0,sgLAMTOR1
7,LAMTOR1,4.0,20220209,0.55,0.55,0,2.0,sgLAMTOR1
8,LAMTOR1,4.0,20220209,0.53,0.53,0,2.0,sgLAMTOR1
9,Ctrl1,6.0,20220210,0.39,0.3677142857142857,0,2.0,sgCtrl1
10,Ctrl1,6.0,20220210,0.35,0.32999999999999996,0,2.0,sgCtrl1
11,Ctrl1,6.0,20220210,0.35,0.32999999999999996,0,2.0,sgCtrl1
12,Ctrl1,6.0,20220210,0.33,0.31114285714285717,0,2.0,sgCtrl1
13,Ctrl1,6.0,20220210,0.3,0.28285714285714286,10,2.0,sgCtrl1
14,Ctrl1,6.0,20220210,0.24,0.22628571428571428,10,2.0,sgCtrl1
15,Ctrl1,6.0,20220210,0.3,0.28285714285714286,10,2.0,sgCtrl1
16,Ctrl1,6.0,20220210,0.32,0.3017142857142857,100,2.0,sgCtrl1
17,Ctrl1,6.0,20220210,0.3,0.28285714285714286,100,2.0,sgCtrl1
18,Ctrl1,6.0,20220210,0.27,0.25457142857142856,100,2.0,sgCtrl1
19,Ctrl1,6.0,20220210,0.34,0.32057142857142856,100,2.0,sgCtrl1
20,FLCN,6.0,20220210,1.07,1.008857142857143,0,2.0,sgFLCN
21,FLCN,6.0,20220210,0.98,0.9239999999999999,0,2.0,sgFLCN
22,FLCN,6.0,20220210,1.1,1.0371428571428571,0,2.0,sgFLCN
23,FLCN,6.0,20220210,1.15,1.084285714285714,0,2.0,sgFLCN
24,FLCN,6.0,20220210,1.2,1.1314285714285715,10,2.0,sgFLCN
25,FLCN,6.0,20220210,1.25,1.1785714285714286,10,2.0,sgFLCN
