,gene,log2fold_diff_mean,exp,pvalue
0,A1BG,-0.07322768418279778,migration_all,0.4719544541071185
1,A1CF,0.546348184743717,migration_all,8.287890415627988e-05
2,A2M,-0.11691691340140349,migration_all,0.25743285557806844
3,A2ML1,-0.0077977351952361555,migration_all,0.9100753687929057
4,A3GALT2,-0.1601782213224085,migration_all,0.12291096945047643
5,A4GALT,-0.02696893683760844,migration_all,0.7725215527659037
6,A4GNT,0.14270914392354075,migration_all,0.23326845686719005
7,AAAS,-0.057735324638351196,migration_all,0.5639331315900813
8,AACS,-0.061623956346170766,migration_all,0.5367968488915966
9,AADAC,0.06479584180315241,migration_all,0.5927420524304773
10,AADACL2,0.10089898198886683,migration_all,0.3960907196565685
11,AADACL3,0.03796954093095399,migration_all,0.766471684247504
12,AADACL4,-0.12277510144879271,migration_all,0.23477504571578006
13,AADAT,-0.05489295495834337,migration_all,0.5822329490864593
14,AAED1,-0.306324216863859,migration_all,0.00311150530680036
15,AAGAB,0.34804832390272555,migration_all,0.005849229670705985
16,AAK1,-0.15002204254083887,migration_all,0.14931387586693107
17,AAMDC,-0.007181319582846851,migration_all,0.9131549079104124
18,AAMP,-0.08507802982165127,migration_all,0.40449258071062005
19,AANAT,0.014911323872379525,migration_all,0.929061147676556
20,AAR2,0.049306667652715554,migration_all,0.6880923370097204
21,AARD,-0.1685868334634344,migration_all,0.10409901279371427
22,AARS,0.29166010150825666,migration_all,0.01853708629350529
23,AARS2,-0.4901449024296416,migration_all,1.5254382124895594e-05
24,AARSD1,-0.3128500333171819,migration_all,0.0035185155406932747
25,AASDH,-0.16087914522917202,migration_all,0.12023261086668743
26,AASDHPPT,0.07802298078779049,migration_all,0.5140153522239261
27,AASS,-0.04107729408978339,migration_all,0.6705866218388633
28,AATF,-0.21174226464074306,migration_all,0.04494387917674334
29,AATK,0.02349984224861679,migration_all,0.8657946180110822
30,ABAT,0.04918215616762747,migration_all,0.6904899955300774
31,ABCA1,-0.2527028708732328,migration_all,0.014767699321942714
32,ABCA10,-0.16656777910486723,migration_all,0.10790298931964921
33,ABCA12,0.19433134121682252,migration_all,0.10718758794649248
34,ABCA13,-0.08062003045606514,migration_all,0.4270985062413499
35,ABCA2,-0.1433525658933771,migration_all,0.16890098832364495
36,ABCA3,-0.07223958022223306,migration_all,0.4749506285121211
37,ABCA4,0.04723298017768346,migration_all,0.7047446812366096
38,ABCA5,-0.09438265384634781,migration_all,0.35876460686032313
39,ABCA6,-0.019438761784638076,migration_all,0.825369047955065
40,ABCA7,-0.1418255491376231,migration_all,0.17027660324163393
41,ABCA8,-0.03562753150823109,migration_all,0.71311166125128
42,ABCA9,-0.05781057237486807,migration_all,0.5662109897718396
43,ABCB1,0.07005195158903857,migration_all,0.5602189324468432
44,ABCB10,-0.05020883607047909,migration_all,0.6124453702440152
45,ABCB11,0.017182578148892853,migration_all,0.9139783530601481
46,ABCB4,-0.005124643578316641,migration_all,0.9287095195943267
47,ABCB5,0.07949482303953664,migration_all,0.5061287395036855
48,ABCB6,-0.24520726637876833,migration_all,0.018223837070762212
49,ABCB7,-0.22129118664122624,migration_all,0.03404117390923516
50,ABCB8,0.12852221826667007,migration_all,0.28093383440901826
51,ABCB9,-0.08255467215462224,migration_all,0.41577441081285016
52,ABCC1,-0.054342646627225995,migration_all,0.5860339136006371
53,ABCC10,0.22137127056037112,migration_all,0.0706840458449565
54,ABCC11,-0.03357635466751988,migration_all,0.7245734347655821
55,ABCC12,-0.0023817892209193085,migration_all,0.9503182749101023
56,ABCC2,0.06239623924419031,migration_all,0.6089031472559431
57,ABCC3,-0.008945518569178213,migration_all,0.8978508761723588
58,ABCC4,-0.1991515485735367,migration_all,0.05645326190914228
59,ABCC5,0.015828018336528724,migration_all,0.9196928194951393
60,ABCC6,-0.0877992437083786,migration_all,0.38998041657968674
61,ABCC8,-0.22105864112857643,migration_all,0.03503212577733587
62,ABCC9,0.03598521286819199,migration_all,0.7779124708411757
63,ABCD1,-0.13192853111939196,migration_all,0.20180857703382815
64,ABCD2,0.07950037478671818,migration_all,0.5080891705109086
65,ABCD3,-0.23454949726766378,migration_all,0.024982402807117228
66,ABCD4,-0.19624713513970607,migration_all,0.058477042324934954
67,ABCE1,-0.18649558886261786,migration_all,0.07426668808757608
68,ABCF1,-0.13717598088770763,migration_all,0.18463398883291782
69,ABCF2,-0.14166897419001714,migration_all,0.17193884508489962
70,ABCF3,0.12828948334070295,migration_all,0.2807263942444536
71,ABCG1,0.012333199999044232,migration_all,0.9468270617985626
72,ABCG2,0.0522624315303638,migration_all,0.672494877029519
73,ABCG4,0.15515633321157524,migration_all,0.1951865234432405
74,ABCG5,-0.027324779619431132,migration_all,0.7719671482792498
75,ABCG8,0.049063084691956756,migration_all,0.6908043135311859
76,ABHD1,-0.002262962425241039,migration_all,0.9496258036909678
77,ABHD10,-0.34273307137487674,migration_all,0.0009299343396011192
78,ABHD11,-0.02230781822689994,migration_all,0.8051996456125263
79,ABHD12,0.060436590406237355,migration_all,0.6185490663273652
80,ABHD12B,-0.17288073388214836,migration_all,0.09525176264628357
81,ABHD13,-0.21405489873860445,migration_all,0.04149327964309021
82,ABHD14A,-0.16198370199601836,migration_all,0.11764529276729989
83,ABHD14B,-0.07997607759830012,migration_all,0.4315549233785503
84,ABHD15,-0.19650594594614565,migration_all,0.05966358063391091
85,ABHD16A,-0.30124019659940793,migration_all,0.005172984450392142
86,ABHD16B,-0.03153785030630679,migration_all,0.739211520420298
87,ABHD17A,0.03598999855401899,migration_all,0.7810067785324595
88,ABHD17B,-0.16066124452944955,migration_all,0.12191992042070614
89,ABHD17C,0.01076093950751,migration_all,0.9589769342568679
90,ABHD2,-0.010422331066615134,migration_all,0.8918209257962241
91,ABHD3,-0.1487007502188336,migration_all,0.15218432307149024
92,ABHD4,-0.05356704224890777,migration_all,0.5924371591113186
93,ABHD5,0.08343804748103698,migration_all,0.4875557033924337
94,ABHD6,-0.47070439393810803,migration_all,6.89847854055788e-06
95,ABHD8,0.005599979158944689,migration_all,0.9954392798104997
96,ABI1,0.09213998135412342,migration_all,0.43915442336516625
97,ABI2,0.12938586906045782,migration_all,0.2812963445982411
98,ABI3,-0.24427080254140907,migration_all,0.018568372351111764
99,ABI3BP,-0.04875119829749451,migration_all,0.6223674227803987
100,ABL1,-0.3966045275233615,migration_all,0.00038709209162792385
101,ABL2,-0.05562869353995291,migration_all,0.5816321984834132
102,ABLIM1,0.10288796052747683,migration_all,0.38893349958990486
103,ABLIM2,-0.24185254020810282,migration_all,0.020225075979211096
104,ABLIM3,-0.25184614920863685,migration_all,0.016459672636101517
105,ABO,0.043396144825432505,migration_all,0.7299904893299727
106,ABR,-0.21287532086615485,migration_all,0.04140563981712425
107,ABRA,-0.06914756439328003,migration_all,0.4956396514636021
108,ABRACL,-0.022624171137735096,migration_all,0.8014890414510629
109,ABT1,0.0795716062589663,migration_all,0.5038503955135794
110,ABTB1,-0.23774162437315133,migration_all,0.022800054546561307
111,ABTB2,0.09624093973525552,migration_all,0.4207287815066753
112,ACAA1,-0.288197755403699,migration_all,0.005323682199918977
113,ACAA2,-0.1197711703688308,migration_all,0.24559846706090663
114,ACACA,-0.41494570224109817,migration_all,0.00014195319926415582
115,ACACB,-0.06329920307737019,migration_all,0.5301023126954983
116,ACAD10,-0.11128584639338943,migration_all,0.2792719812124309
117,ACAD11,0.08944374601557395,migration_all,0.4525112380830605
118,ACAD8,-0.07500885176214622,migration_all,0.4614228092557567
119,ACAD9,-0.5314933332467573,migration_all,1.4574250437798337e-06
120,ACADL,-0.18901310063035745,migration_all,0.06833914611118433
121,ACADM,-0.10973265620762633,migration_all,0.2875203268285377
122,ACADS,-0.07143335250913256,migration_all,0.4793019167228302
123,ACADSB,-0.08239249697416633,migration_all,0.4184557814083963
124,ACADVL,-0.14940114708989155,migration_all,0.149937848109008
125,ACAN,-0.024149417917427158,migration_all,0.7901124787209871
126,ACAP1,0.08880632581832822,migration_all,0.4561198224914594
127,ACAP2,-0.1128360342785715,migration_all,0.27491466897820754
128,ACAP3,-0.03760735030290611,migration_all,0.6958079451914908
129,ACAT1,-0.08148748022074766,migration_all,0.4266773104036975
130,ACAT2,-0.23824654602646134,migration_all,0.02127451917240216
131,ACBD3,0.03651437981958289,migration_all,0.7753703329181453
132,ACBD4,0.05457620893692948,migration_all,0.6556194496092619
133,ACBD5,-0.14531377460026648,migration_all,0.15914964884072283
134,ACBD6,-0.012693906962297255,migration_all,0.8734815635003249
135,ACBD7,-0.19364668228076928,migration_all,0.06426661473051555
136,ACCS,0.016895583254652,migration_all,0.9167967216098095
137,ACCSL,0.06882111759980755,migration_all,0.567649079643372
138,ACD,0.12619808868455057,migration_all,0.2884344238159964
139,ACE,0.15868476228270492,migration_all,0.18508472181812413
140,ACE2,-0.1168073989352583,migration_all,0.2578013897908056
141,ACER1,0.011028882891792347,migration_all,0.9589311711104933
142,ACER2,-0.05514835147572787,migration_all,0.5834417374177703
143,ACER3,-0.3606359659291013,migration_all,0.0015026052201370086
144,ACHE,0.015656184431337903,migration_all,0.9234379160493055
145,ACIN1,0.14931169602410393,migration_all,0.21057644609720763
146,ACKR1,0.2985295775808025,migration_all,0.019026100976528217
147,ACKR2,-0.06972463158594251,migration_all,0.4906907218232737
148,ACKR3,-0.09268936774080919,migration_all,0.36610264479408505
149,ACKR4,-0.005294320716478798,migration_all,0.9285854441422663
150,ACLY,-0.033699957148929184,migration_all,0.7249304067396386
151,ACMSD,-0.005658423355204191,migration_all,0.9250949111624136
152,ACO1,-0.2773834109362213,migration_all,0.01093846076191558
153,ACO2,-0.37632019944186873,migration_all,0.00030372737912371734
154,ACOD1,0.025448151668849534,migration_all,0.8542535605743984
155,ACOT1,0.017611260842177463,migration_all,0.9078734910367631
156,ACOT11,0.07279030368831238,migration_all,0.5479129211855143
157,ACOT12,0.11472747540521633,migration_all,0.3349421200647155
158,ACOT13,0.021857231396724082,migration_all,0.8776883723083606
159,ACOT2,-0.1790989242813511,migration_all,0.08435683031234222
160,ACOT4,-0.10723283848207046,migration_all,0.3005231815841326
161,ACOT6,0.08787416511738479,migration_all,0.46031205704905725
162,ACOT7,-0.0036346184886234915,migration_all,0.9373221243097088
163,ACOT8,0.07105760278382862,migration_all,0.5559410984583406
164,ACOT9,0.10035238645327335,migration_all,0.4014285874602469
165,ACOX1,-0.06486189149872719,migration_all,0.520861363462908
166,ACOX2,-0.24518693720131127,migration_all,0.019266964755430233
167,ACOX3,0.006778483058599953,migration_all,0.9894494572039039
168,ACOXL,-0.12670191579767454,migration_all,0.21942233598126412
169,ACP1,-0.05505174155798034,migration_all,0.5822238158895182
170,ACP2,-0.06838855924662854,migration_all,0.4980611145930075
171,ACP5,-0.3815192158596182,migration_all,0.00021628187649692734
172,ACP6,-0.2072852028530275,migration_all,0.04643997456501814
173,ACPP,-0.11806251267242251,migration_all,0.25041205049550264
174,ACPT,-0.13063621121497734,migration_all,0.20469709630893018
175,ACR,0.024130011272690603,migration_all,0.8626220951757823
176,ACRBP,-0.04137280964014872,migration_all,0.6701572644209658
177,ACRV1,-0.03822747109130096,migration_all,0.6900680223990683
178,ACSBG1,-0.15350441633138256,migration_all,0.13941183863448212
179,ACSBG2,0.07050457598108957,migration_all,0.5585455170115752
180,ACSF2,-0.18512881231711414,migration_all,0.07403447169726717
181,ACSF3,-0.09538818991366536,migration_all,0.35150303516052495
182,ACSL1,-0.017958480410732218,migration_all,0.8372567782288293
183,ACSL3,-0.07209162536108742,migration_all,0.4783105762080511
184,ACSL4,0.060946147257078795,migration_all,0.616336792272577
185,ACSL5,0.14521141522309025,migration_all,0.22583393739552995
186,ACSL6,-0.0973078417665387,migration_all,0.34135362431731175
187,ACSM1,-0.11865334325181223,migration_all,0.25294359779654824
188,ACSM2A,-0.09472099290914292,migration_all,0.35321677268867085
189,ACSM2B,0.1443982734320068,migration_all,0.22974576337470462
190,ACSM3,-0.038847706470275536,migration_all,0.6901208783473227
191,ACSM4,-0.19655200519116775,migration_all,0.0601051804221762
192,ACSM5,0.04986880238143596,migration_all,0.6881690947286928
193,ACSM6,0.08881568958113747,migration_all,0.45975872134076884
194,ACSS1,0.12006388018465534,migration_all,0.3118177398650784
195,ACSS2,-0.10187853061455196,migration_all,0.32009844031715706
196,ACSS3,-0.06621145797031344,migration_all,0.509124719585349
197,ACTA1,-0.4469826623216531,migration_all,0.00012252086534709136
198,ACTA2,-0.07887117338788768,migration_all,0.43882455949692406
199,ACTB,-0.19096239474581722,migration_all,0.0653889291758956
200,ACTBL2,-0.16627162209261134,migration_all,0.10789521638608239
201,ACTC1,-0.2602842183905181,migration_all,0.012103526341913178
202,ACTG1,0.11036591788093132,migration_all,0.35540504781107146
203,ACTG2,0.01660423883302989,migration_all,0.9166529223388232
204,ACTL10,0.1850391488271452,migration_all,0.12668958678064962
205,ACTL6A,-0.9791783541791116,migration_all,9.716166958532225e-08
206,ACTL6B,-0.22291662763851813,migration_all,0.03204702780266601
207,ACTL7A,0.036719998248092946,migration_all,0.772457037417299
208,ACTL7B,-0.16776338870522667,migration_all,0.10636696048517486
209,ACTL8,0.0394714907891866,migration_all,0.7552132701076439
210,ACTL9,-0.13907439953388695,migration_all,0.17893710866012164
211,ACTN1,-0.1415112327138587,migration_all,0.17134567309208124
212,ACTN2,0.021898948498677843,migration_all,0.8777805787327971
213,ACTN3,-0.046274142189444534,migration_all,0.6389842058362197
214,ACTN4,-0.01264020422192352,migration_all,0.8735474391123038
215,ACTR10,-0.008098329094536711,migration_all,0.9058933362106143
216,ACTR1A,0.10679669693188758,migration_all,0.37051135555151904
217,ACTR1B,0.07457399640520601,migration_all,0.53382273018559
218,ACTR2,-0.39575441524831334,migration_all,0.0014862820596466745
219,ACTR3,-0.27511952259462225,migration_all,0.00793393045332866
220,ACTR3B,0.10932735333744475,migration_all,0.3585791252330848
221,ACTR3C,-0.03180198443346375,migration_all,0.7364341540952016
222,ACTR5,0.16933142001208074,migration_all,0.1581250790349456
