,gene,log2fold_diff_mean,exp,pvalue
0,A1BG,-0.20601663803953854,tracketch_all_10grad_data,0.19704328294901602
1,A1CF,0.5205646982714494,tracketch_all_10grad_data,0.005024812904274526
2,A2M,-0.042534977726972935,tracketch_all_10grad_data,0.8158618757478109
3,A2ML1,-0.02572714525049811,tracketch_all_10grad_data,0.9040436695067184
4,A3GALT2,-0.2277980040943162,tracketch_all_10grad_data,0.1507904417596192
5,A4GALT,-0.17756168006130835,tracketch_all_10grad_data,0.26999187582699763
6,A4GNT,0.32686244448755214,tracketch_all_10grad_data,0.05955990913246337
7,AAAS,-0.07460393212592535,tracketch_all_10grad_data,0.6633383612877982
8,AACS,-0.14134068003922565,tracketch_all_10grad_data,0.3832915157604244
9,AADAC,0.06079048838757285,tracketch_all_10grad_data,0.6835427418313876
10,AADACL2,0.03730974364125394,tracketch_all_10grad_data,0.7904430227209164
11,AADACL3,-0.015186574389715999,tracketch_all_10grad_data,0.9559017674144925
12,AADACL4,-0.19294289610210572,tracketch_all_10grad_data,0.22919145604972035
13,AADAT,-0.15392468688324767,tracketch_all_10grad_data,0.3412345041104001
14,AAED1,-0.4604910072745413,tracketch_all_10grad_data,0.0030522366883533134
15,AAGAB,0.3098076141920481,tracketch_all_10grad_data,0.07458518404047677
16,AAK1,-0.029116109401421755,tracketch_all_10grad_data,0.8865106519067079
17,AAMDC,0.010644949347037707,tracketch_all_10grad_data,0.9193126258820519
18,AAMP,-0.05737673777763771,tracketch_all_10grad_data,0.7443623520100248
19,AANAT,0.005408125674934668,tracketch_all_10grad_data,0.9466543083500398
20,AAR2,-0.02854259080799469,tracketch_all_10grad_data,0.888730893218402
21,AARD,-0.26536511344828895,tracketch_all_10grad_data,0.09225315919954136
22,AARS,0.350843047667422,tracketch_all_10grad_data,0.044513064333802026
23,AARS2,-0.5975006876638443,tracketch_all_10grad_data,0.00013524904406276856
24,AARSD1,-0.48892992973573296,tracketch_all_10grad_data,0.001608802924993766
25,AASDH,-0.4511311655382262,tracketch_all_10grad_data,0.0037368378122514937
26,AASDHPPT,-0.044232078244471375,tracketch_all_10grad_data,0.8101941440758903
27,AASS,-0.014232416688017379,tracketch_all_10grad_data,0.9625075950062594
28,AATF,-0.08710849944289381,tracketch_all_10grad_data,0.6095028290806237
29,AATK,0.16103164145831653,tracketch_all_10grad_data,0.3177486824999056
30,ABAT,0.18522077889035185,tracketch_all_10grad_data,0.26060566989837713
31,ABCA1,-0.14520606527351732,tracketch_all_10grad_data,0.3731597883410757
32,ABCA10,-0.10042410125186892,tracketch_all_10grad_data,0.5477335607434597
33,ABCA12,0.023281555554528863,tracketch_all_10grad_data,0.8595635429789059
34,ABCA13,-0.25798668675645037,tracketch_all_10grad_data,0.10307832945472045
35,ABCA2,-0.3331083850341657,tracketch_all_10grad_data,0.03630280609217271
36,ABCA3,-0.03478838912275743,tracketch_all_10grad_data,0.8551980691644373
37,ABCA4,0.06990580005184892,tracketch_all_10grad_data,0.6437449333225613
38,ABCA5,-0.12031013421240146,tracketch_all_10grad_data,0.4682655169979726
39,ABCA6,-0.08138198471888487,tracketch_all_10grad_data,0.6320030427148448
40,ABCA7,-0.19920346746031278,tracketch_all_10grad_data,0.2122493757241277
41,ABCA8,0.007537223545363594,tracketch_all_10grad_data,0.9338963981634696
42,ABCA9,-0.014134880962572982,tracketch_all_10grad_data,0.9621941514601772
43,ABCB1,-0.06829029430031244,tracketch_all_10grad_data,0.6947404299277569
44,ABCB10,-0.11871427364931862,tracketch_all_10grad_data,0.47637589304326816
45,ABCB11,0.1038760935527898,tracketch_all_10grad_data,0.5104675910206877
46,ABCB4,-0.17104486393416543,tracketch_all_10grad_data,0.28753431810895796
47,ABCB5,0.10605418595586041,tracketch_all_10grad_data,0.4966903577584978
48,ABCB6,-0.283271099304302,tracketch_all_10grad_data,0.07119783675372368
49,ABCB7,-0.26506538928566115,tracketch_all_10grad_data,0.09360603828684738
50,ABCB8,0.06067532808497077,tracketch_all_10grad_data,0.6844809349129035
51,ABCB9,-0.18663884743622874,tracketch_all_10grad_data,0.24417106497302865
52,ABCC1,-0.06917715093155176,tracketch_all_10grad_data,0.688744486135977
53,ABCC10,0.4604863685724998,tracketch_all_10grad_data,0.012838457210656556
