,gene,log2fold_diff_mean,exp,pvalue
0,A1BG,-0.04963617400233778,tracketch_all_NOgrad_data,0.8274866865436772
1,A1CF,0.9283166916902993,tracketch_all_NOgrad_data,8.657104760052212e-05
2,A2M,-0.3221706166240016,tracketch_all_NOgrad_data,0.11146755949172593
3,A2ML1,-0.02424802072903338,tracketch_all_NOgrad_data,0.9272728871478382
4,A3GALT2,-0.22842529943553946,tracketch_all_NOgrad_data,0.26253666091971584
5,A4GALT,0.15100578322920702,tracketch_all_NOgrad_data,0.4548978201730848
6,A4GNT,0.08518017611365848,tracketch_all_NOgrad_data,0.6639058825998462
7,AAAS,-0.034657816255443966,tracketch_all_NOgrad_data,0.8863853133529428
8,AACS,0.0852671730011201,tracketch_all_NOgrad_data,0.6636851312865483
9,AADAC,0.13359273222377982,tracketch_all_NOgrad_data,0.5034270621191961
10,AADACL2,0.21785078017589327,tracketch_all_NOgrad_data,0.29063591292546065
11,AADACL3,0.05349573576164051,tracketch_all_NOgrad_data,0.7781046566236155
12,AADACL4,-0.07868607680094944,tracketch_all_NOgrad_data,0.7151997626923382
13,AADAT,0.11546459253482184,tracketch_all_NOgrad_data,0.5605156641857568
14,AAED1,-0.35123046820562753,tracketch_all_NOgrad_data,0.08328708033020782
15,AAGAB,0.6460931723964903,tracketch_all_NOgrad_data,0.004159588236617231
16,AAK1,-0.30414727621357024,tracketch_all_NOgrad_data,0.13422913801713146
17,AAMDC,-0.10479810150782821,tracketch_all_NOgrad_data,0.6166105938574684
18,AAMP,-0.1577569086512738,tracketch_all_NOgrad_data,0.4456699877658884
19,AANAT,-0.07256265254652335,tracketch_all_NOgrad_data,0.7391939341581031
20,AAR2,0.19411440577107986,tracketch_all_NOgrad_data,0.34394191403339514
21,AARD,-0.19606391112790209,tracketch_all_NOgrad_data,0.33740031030522416
22,AARS,0.487008173288818,tracketch_all_NOgrad_data,0.026870837017177553
23,AARS2,-0.5593912417768517,tracketch_all_NOgrad_data,0.005792681579007327
24,AARSD1,-0.27047381085332617,tracketch_all_NOgrad_data,0.18569314819306743
25,AASDH,0.08997682214494444,tracketch_all_NOgrad_data,0.6444753947545038
26,AASDHPPT,0.24457414012057047,tracketch_all_NOgrad_data,0.23845708434638543
27,AASS,-0.12602254712159086,tracketch_all_NOgrad_data,0.5484623704270192
28,AATF,-0.3848830803750601,tracketch_all_NOgrad_data,0.058057886882343875
29,AATK,-0.130924978584888,tracketch_all_NOgrad_data,0.5316751658027455
30,ABAT,-0.125922920751137,tracketch_all_NOgrad_data,0.5485278573923197
31,ABCA1,-0.490007739470939,tracketch_all_NOgrad_data,0.016868723265055723
32,ABCA10,-0.3370580863526635,tracketch_all_NOgrad_data,0.09591702859793427
33,ABCA12,0.4347181395326409,tracketch_all_NOgrad_data,0.04510604200328125
34,ABCA13,0.07945741642129069,tracketch_all_NOgrad_data,0.6831571071648035
35,ABCA2,-0.03269381899864931,tracketch_all_NOgrad_data,0.8922695212246995
36,ABCA3,-0.14484330406442195,tracketch_all_NOgrad_data,0.48330313143802334
37,ABCA4,0.02931135490196152,tracketch_all_NOgrad_data,0.868485899096926
38,ABCA5,-0.09824845396405295,tracketch_all_NOgrad_data,0.6421555627314847
39,ABCA6,0.16833748628033482,tracketch_all_NOgrad_data,0.4072274873861077
40,ABCA7,-0.17288551310835876,tracketch_all_NOgrad_data,0.40209220166351467
41,ABCA8,-0.24050551766273218,tracketch_all_NOgrad_data,0.23984241543133294
42,ABCA9,-0.09323214650926095,tracketch_all_NOgrad_data,0.6630527059792174
43,ABCB1,0.19292208993284513,tracketch_all_NOgrad_data,0.34635346667250283
44,ABCB10,-0.028712531382327454,tracketch_all_NOgrad_data,0.9084795855316363
45,ABCB11,-0.10374767148871404,tracketch_all_NOgrad_data,0.6259975770794456
46,ABCB4,0.09207422333143592,tracketch_all_NOgrad_data,0.6401101152633745
47,ABCB5,-0.024406752747615078,tracketch_all_NOgrad_data,0.9239125508052297
48,ABCB6,-0.33581897478196776,tracketch_all_NOgrad_data,0.09866777262556434
49,ABCB7,-0.25973419940146614,tracketch_all_NOgrad_data,0.20193809353938538
50,ABCB8,0.2690922950343274,tracketch_all_NOgrad_data,0.1978728492839355
51,ABCB9,-0.0503825316355035,tracketch_all_NOgrad_data,0.821319543890088
52,ABCC1,0.001251272967664696,tracketch_all_NOgrad_data,0.9756856322521167
53,ABCC10,-0.02144164845902582,tracketch_all_NOgrad_data,0.9397833265619746
54,ABCC11,-0.3429553987782487,tracketch_all_NOgrad_data,0.09022597812531319
55,ABCC12,0.1791373190208134,tracketch_all_NOgrad_data,0.38325158231422485
56,ABCC2,0.08307450724793927,tracketch_all_NOgrad_data,0.6696005280542419
57,ABCC3,-0.026938620638845185,tracketch_all_NOgrad_data,0.9177839813344659
58,ABCC4,-0.4290675744315765,tracketch_all_NOgrad_data,0.03405924597977803
59,ABCC5,0.4127340999593747,tracketch_all_NOgrad_data,0.056134668794572004
60,ABCC6,-0.1664995330494108,tracketch_all_NOgrad_data,0.4197148994845525
61,ABCC8,-0.29788003391246926,tracketch_all_NOgrad_data,0.14370531565178793
62,ABCC9,0.3704741096730293,tracketch_all_NOgrad_data,0.08358964176929651
63,ABCD1,-0.19538866843698377,tracketch_all_NOgrad_data,0.34232708708488707
64,ABCD2,-0.015378063613385473,tracketch_all_NOgrad_data,0.9584016400112533
65,ABCD3,-0.4419696974289803,tracketch_all_NOgrad_data,0.030532471697170008
66,ABCD4,-0.25100244101359065,tracketch_all_NOgrad_data,0.21636524120943154
67,ABCE1,0.02080042349981243,tracketch_all_NOgrad_data,0.8988802068999456
68,ABCF1,-0.16583146135407853,tracketch_all_NOgrad_data,0.42228424267506676
69,ABCF2,-0.31370423254659463,tracketch_all_NOgrad_data,0.12185462777874481
70,ABCF3,0.12368847898888477,tracketch_all_NOgrad_data,0.5359085969082477
71,ABCG1,-0.0825071910634079,tracketch_all_NOgrad_data,0.7002864180276871
72,ABCG2,-0.009799737536706236,tracketch_all_NOgrad_data,0.9802749665533098
73,ABCG4,0.22664920922895934,tracketch_all_NOgrad_data,0.27672790005600884
74,ABCG5,-0.05981376026406204,tracketch_all_NOgrad_data,0.7877060756503674
75,ABCG8,0.31051664620660163,tracketch_all_NOgrad_data,0.14072089780880517
76,ABHD1,0.06329930141225683,tracketch_all_NOgrad_data,0.7421402646266084
77,ABHD10,-0.41817591786199243,tracketch_all_NOgrad_data,0.038710860911175336
78,ABHD11,0.05567116567298503,tracketch_all_NOgrad_data,0.7667748286566102
79,ABHD12,-0.014205130567095606,tracketch_all_NOgrad_data,0.9671584326443
80,ABHD12B,-0.22194350818924347,tracketch_all_NOgrad_data,0.2761900130531845
81,ABHD13,-0.3792457846149053,tracketch_all_NOgrad_data,0.06374689695990367
82,ABHD14A,-0.1468699529193265,tracketch_all_NOgrad_data,0.47737043989314354
83,ABHD14B,-0.17106132161924953,tracketch_all_NOgrad_data,0.40578473375443525
84,ABHD15,-0.20037369377312253,tracketch_all_NOgrad_data,0.328398767426492
85,ABHD16A,-0.7312122456418402,tracketch_all_NOgrad_data,0.00032335403637995247
86,ABHD16B,-0.06504922945440059,tracketch_all_NOgrad_data,0.7663175858395417
87,ABHD17A,0.5121710515895672,tracketch_all_NOgrad_data,0.020841955419408306
88,ABHD17B,0.005405965504118848,tracketch_all_NOgrad_data,0.9602286680461357
89,ABHD17C,-0.045375972506881725,tracketch_all_NOgrad_data,0.8429430677796407
90,ABHD2,0.16554421841643202,tracketch_all_NOgrad_data,0.4153577815736683
91,ABHD3,-0.214445306735003,tracketch_all_NOgrad_data,0.29561719740176096
92,ABHD4,-0.027231933203759252,tracketch_all_NOgrad_data,0.910770949185467
93,ABHD5,-0.1103206918783913,tracketch_all_NOgrad_data,0.5995990429381223
94,ABHD6,-0.514590651540737,tracketch_all_NOgrad_data,0.010892600453871307
95,ABHD8,-0.020828397692638,tracketch_all_NOgrad_data,0.9396593482715838
96,ABI1,0.20410715357430356,tracketch_all_NOgrad_data,0.32017199170103317
97,ABI2,0.3015443219009881,tracketch_all_NOgrad_data,0.15440777071828077
98,ABI3,-0.09742964950301472,tracketch_all_NOgrad_data,0.6450750765791844
99,ABI3BP,-0.20452723735820094,tracketch_all_NOgrad_data,0.31759098911016864
100,ABL1,-0.7930305282043604,tracketch_all_NOgrad_data,0.00011125011167519397
101,ABL2,-0.03456322569554777,tracketch_all_NOgrad_data,0.8866642645063223
102,ABLIM1,0.1085071076912489,tracketch_all_NOgrad_data,0.5833206739774669
103,ABLIM2,-0.09670837222321658,tracketch_all_NOgrad_data,0.6480658099306902
104,ABLIM3,-0.243363350335677,tracketch_all_NOgrad_data,0.2333131512351993
105,ABO,0.06922589324449442,tracketch_all_NOgrad_data,0.7208561264489173
106,ABR,-0.22931723270772716,tracketch_all_NOgrad_data,0.26129891841086844
107,ABRA,-0.10450750842631332,tracketch_all_NOgrad_data,0.6197534823835448
108,ABRACL,-0.0325189341633748,tracketch_all_NOgrad_data,0.8928380141534432
109,ABT1,-0.07557722509020817,tracketch_all_NOgrad_data,0.7274686581958856
110,ABTB1,-0.22605837910232165,tracketch_all_NOgrad_data,0.2683511067127103
111,ABTB2,0.31324501062433857,tracketch_all_NOgrad_data,0.13949986710712642
112,ACAA1,-0.3921432001828055,tracketch_all_NOgrad_data,0.05262324605575846
113,ACAA2,-0.10725832283620074,tracketch_all_NOgrad_data,0.6106943226347485
114,ACACA,-0.09131743263396402,tracketch_all_NOgrad_data,0.6711413178105259
115,ACACB,-0.12297998120992074,tracketch_all_NOgrad_data,0.5588739234547736
116,ACAD10,-0.30250122262314244,tracketch_all_NOgrad_data,0.13568073336073616
117,ACAD11,0.4115818208233132,tracketch_all_NOgrad_data,0.056641852709807386
118,ACAD8,-0.2375784742538407,tracketch_all_NOgrad_data,0.2439768387955276
119,ACAD9,-0.8344088559317713,tracketch_all_NOgrad_data,5.431337329819514e-05
120,ACADL,-0.08008512379038325,tracketch_all_NOgrad_data,0.7112132193892524
121,ACADM,-0.12896495360208798,tracketch_all_NOgrad_data,0.5371327367833532
122,ACADS,0.015557650443779622,tracketch_all_NOgrad_data,0.9204478628294868
123,ACADSB,0.04993072296239046,tracketch_all_NOgrad_data,0.7902002157086226
124,ACADVL,-0.10548267398277657,tracketch_all_NOgrad_data,0.6192967253748242
125,ACAN,-0.043208853702230994,tracketch_all_NOgrad_data,0.8521906240057628
126,ACAP1,0.13966252494060474,tracketch_all_NOgrad_data,0.486879652495459
127,ACAP2,0.08344215275027216,tracketch_all_NOgrad_data,0.667236098824883
128,ACAP3,-0.03593073629911229,tracketch_all_NOgrad_data,0.8771767189563243
129,ACAT1,-0.029083596434145924,tracketch_all_NOgrad_data,0.9084721040830783
130,ACAT2,-0.4237450396367118,tracketch_all_NOgrad_data,0.036042121332675287
131,ACBD3,0.06438049731766524,tracketch_all_NOgrad_data,0.7371722912990413
132,ACBD4,0.057775818634078345,tracketch_all_NOgrad_data,0.7605128562135057
133,ACBD5,-0.19399837418906246,tracketch_all_NOgrad_data,0.3431330431340973
134,ACBD6,0.03800130037529084,tracketch_all_NOgrad_data,0.835080356830118
135,ACBD7,-0.25137816736135693,tracketch_all_NOgrad_data,0.21467006156017643
136,ACCS,0.22808155410551662,tracketch_all_NOgrad_data,0.2696192608241379
137,ACCSL,0.03539229214306806,tracketch_all_NOgrad_data,0.847194473794016
138,ACD,0.36877735691705615,tracketch_all_NOgrad_data,0.08399169675804058
139,ACE,0.0472631398585829,tracketch_all_NOgrad_data,0.8016866682869994
140,ACE2,-0.2761486338556531,tracketch_all_NOgrad_data,0.17371797241667647
141,ACER1,0.0015176706990000918,tracketch_all_NOgrad_data,0.9761173215500842
142,ACER2,-0.15095879628089837,tracketch_all_NOgrad_data,0.468583138495847
143,ACER3,-0.5175658168018777,tracketch_all_NOgrad_data,0.012654821655140296
144,ACHE,0.265795886640613,tracketch_all_NOgrad_data,0.20221257525596392
145,ACIN1,0.12537022641599715,tracketch_all_NOgrad_data,0.5304677377348088
146,ACKR1,0.5980368372788017,tracketch_all_NOgrad_data,0.009429151386577184
147,ACKR2,0.015925062178769205,tracketch_all_NOgrad_data,0.9208197977006594
148,ACKR3,-0.2704745742840942,tracketch_all_NOgrad_data,0.1826674366405109
149,ACKR4,0.20389327196297322,tracketch_all_NOgrad_data,0.3232637731889077
150,ACLY,0.009863243482649508,tracketch_all_NOgrad_data,0.942127254679051
151,ACMSD,0.09924457675974946,tracketch_all_NOgrad_data,0.6171420681901001
152,ACO1,-0.23410360687848097,tracketch_all_NOgrad_data,0.25429637972218466
153,ACO2,-0.3149149770619661,tracketch_all_NOgrad_data,0.12090749582362709
154,ACOD1,0.04770865878595002,tracketch_all_NOgrad_data,0.7965499251393626
155,ACOT1,0.06527453357278888,tracketch_all_NOgrad_data,0.7343115602614407
156,ACOT11,0.21715064773164225,tracketch_all_NOgrad_data,0.29491384407563276
157,ACOT12,0.22579962698311598,tracketch_all_NOgrad_data,0.27458383349326954
158,ACOT13,0.17028059624104314,tracketch_all_NOgrad_data,0.404214698335606
159,ACOT2,-0.2383702958381394,tracketch_all_NOgrad_data,0.2410781175451191
160,ACOT4,-0.10471699840969798,tracketch_all_NOgrad_data,0.6200767392582552
161,ACOT6,0.01444135717540392,tracketch_all_NOgrad_data,0.9265292117288321
162,ACOT7,-0.1386737347522354,tracketch_all_NOgrad_data,0.5069523789767604
163,ACOT8,0.4035656157651333,tracketch_all_NOgrad_data,0.060241498244604404
164,ACOT9,0.07602216357792604,tracketch_all_NOgrad_data,0.6950076245191166
165,ACOX1,-0.26526602402650273,tracketch_all_NOgrad_data,0.19263573813161705
166,ACOX2,-0.41155358461409985,tracketch_all_NOgrad_data,0.04280000693734321
167,ACOX3,0.17208854213345898,tracketch_all_NOgrad_data,0.396849746619369
168,ACOXL,-0.20668994752112743,tracketch_all_NOgrad_data,0.3162583196501364
169,ACP1,-0.261629904959692,tracketch_all_NOgrad_data,0.19766638073606668
170,ACP2,-0.02416226247540753,tracketch_all_NOgrad_data,0.9271016882860288
171,ACP5,-0.3688633776336462,tracketch_all_NOgrad_data,0.06840239835808438
172,ACP6,-0.3161557797379996,tracketch_all_NOgrad_data,0.11815441991592698
173,ACPP,-0.14302359243171595,tracketch_all_NOgrad_data,0.4925925643437368
174,ACPT,0.25404867292283345,tracketch_all_NOgrad_data,0.2227157279335282
175,ACR,0.2674405465342596,tracketch_all_NOgrad_data,0.20301250728165987
176,ACRBP,0.09100877336466776,tracketch_all_NOgrad_data,0.6416077652383626
177,ACRV1,-0.08589178147068634,tracketch_all_NOgrad_data,0.688653834298254
178,ACSBG1,-0.0728462253619039,tracketch_all_NOgrad_data,0.7393256853820608
179,ACSBG2,0.18779626822598766,tracketch_all_NOgrad_data,0.35826694478870713
180,ACSF2,-0.2740018443016076,tracketch_all_NOgrad_data,0.1779250727097209
181,ACSF3,-0.1982567428059171,tracketch_all_NOgrad_data,0.33177105465445933
182,ACSL1,-0.08124153168842393,tracketch_all_NOgrad_data,0.7062160975608097
183,ACSL3,0.06909878797951917,tracketch_all_NOgrad_data,0.7212273811884028
184,ACSL4,0.4369073713454435,tracketch_all_NOgrad_data,0.04353027404594649
185,ACSL5,0.16367615824380788,tracketch_all_NOgrad_data,0.4219522412500937
186,ACSL6,-0.13226107765858539,tracketch_all_NOgrad_data,0.5274736037248675
187,ACSM1,-0.05683675268502622,tracketch_all_NOgrad_data,0.7997266259264547
188,ACSM2A,-0.1507914723904827,tracketch_all_NOgrad_data,0.4651360367822989
189,ACSM2B,0.19983575712685506,tracketch_all_NOgrad_data,0.32959783959084443
190,ACSM3,-0.04570617207742133,tracketch_all_NOgrad_data,0.842852998911935
191,ACSM4,-0.014354344838426918,tracketch_all_NOgrad_data,0.9638958409412944
192,ACSM5,0.1410167556502682,tracketch_all_NOgrad_data,0.48591104781136296
193,ACSM6,-0.13859058856552114,tracketch_all_NOgrad_data,0.505604940942951
194,ACSS1,0.31473073779540944,tracketch_all_NOgrad_data,0.13631170124302325
195,ACSS2,0.098345631559092,tracketch_all_NOgrad_data,0.6175221646415179
196,ACSS3,0.04932193387600063,tracketch_all_NOgrad_data,0.7900817756333981
197,ACTA1,-0.28453575550553023,tracketch_all_NOgrad_data,0.16426112995426745
198,ACTA2,-0.29259640412317095,tracketch_all_NOgrad_data,0.1490211277564705
199,ACTB,-0.32091747992917236,tracketch_all_NOgrad_data,0.11491155203184726
200,ACTBL2,-0.3376983445946264,tracketch_all_NOgrad_data,0.09618840114108608
201,ACTC1,-0.4817016773361199,tracketch_all_NOgrad_data,0.017150977915201083
202,ACTG1,0.1201472218447131,tracketch_all_NOgrad_data,0.549842940590157
203,ACTG2,-0.3022913215641006,tracketch_all_NOgrad_data,0.13711814310058143
204,ACTL10,0.44997401728462194,tracketch_all_NOgrad_data,0.03963039895213082
205,ACTL6A,-0.8985713415477609,tracketch_all_NOgrad_data,1.5254382124895594e-05
206,ACTL6B,-0.2572947066781706,tracketch_all_NOgrad_data,0.2067112577194339
207,ACTL7A,0.06909544721048645,tracketch_all_NOgrad_data,0.7199190993074365
208,ACTL7B,-0.17264103747465184,tracketch_all_NOgrad_data,0.40122007851731684
209,ACTL8,0.300156940726376,tracketch_all_NOgrad_data,0.1564172683686444
210,ACTL9,-0.10079064513175816,tracketch_all_NOgrad_data,0.6338069462723658
211,ACTN1,-0.1351304168551978,tracketch_all_NOgrad_data,0.5185048043287855
212,ACTN2,0.13359076382442053,tracketch_all_NOgrad_data,0.5038039522355175
213,ACTN3,-0.21592273797710834,tracketch_all_NOgrad_data,0.2907465800671183
214,ACTN4,0.2906741277939146,tracketch_all_NOgrad_data,0.16503686872423667
215,ACTR10,0.4523684599300676,tracketch_all_NOgrad_data,0.04289765441527646
216,ACTR1A,0.36306540300036627,tracketch_all_NOgrad_data,0.08992351384789408
217,ACTR1B,0.06834953593181553,tracketch_all_NOgrad_data,0.7214638726921735
218,ACTR2,-0.2588467526085742,tracketch_all_NOgrad_data,0.2062824832715539
219,ACTR3,-0.2098372283759848,tracketch_all_NOgrad_data,0.308019495877649
220,ACTR3B,0.2780121176098878,tracketch_all_NOgrad_data,0.18330481719299063
221,ACTR3C,-0.06962939073280996,tracketch_all_NOgrad_data,0.7511488031455508
222,ACTR5,0.35698381006838326,tracketch_all_NOgrad_data,0.09369076326272578
223,ACTR6,-0.5357787785977192,tracketch_all_NOgrad_data,0.008034589943019053
224,ACTR8,0.626145352439676,tracketch_all_NOgrad_data,0.005730692433811892
225,ACTRT1,0.046550561173956506,tracketch_all_NOgrad_data,0.8018373660365263
226,ACTRT2,-0.03949903202786808,tracketch_all_NOgrad_data,0.86454861676032
227,ACTRT3,0.16773109877965547,tracketch_all_NOgrad_data,0.4117890334497994
228,ACVR1,0.127598531647254,tracketch_all_NOgrad_data,0.5235492438903163
229,ACVR1B,-0.06793085607696248,tracketch_all_NOgrad_data,0.7547273645980478
230,ACVR1C,-0.19741570507617373,tracketch_all_NOgrad_data,0.3329643942803063
231,ACVR2A,0.042630374870933053,tracketch_all_NOgrad_data,0.8167797620403834
232,ACVR2B,-0.19093863760342808,tracketch_all_NOgrad_data,0.3526317622760976
233,ACVRL1,-0.4134416318565147,tracketch_all_NOgrad_data,0.04108393752912725
234,ACY1,0.08143948068994983,tracketch_all_NOgrad_data,0.6752846800483224
235,ACY3,0.2608834910467143,tracketch_all_NOgrad_data,0.21185587096230715
236,ACYP1,0.31825919761513943,tracketch_all_NOgrad_data,0.1343108509812527
237,ACYP2,-0.31255726486781765,tracketch_all_NOgrad_data,0.12272228148814174
238,ADA,-0.3186145492713241,tracketch_all_NOgrad_data,0.11550054607287348
239,ADA2,-0.11944031216100631,tracketch_all_NOgrad_data,0.5727368533095378
240,ADAD1,0.07928536181884312,tracketch_all_NOgrad_data,0.6834748258243475
241,ADAD2,0.10322971911872439,tracketch_all_NOgrad_data,0.6016139816419827
242,ADAL,-0.0286679062599299,tracketch_all_NOgrad_data,0.9084924108720216
243,ADAM10,-0.20224776021990662,tracketch_all_NOgrad_data,0.3209477304710024
244,ADAM11,-0.16444716332416362,tracketch_all_NOgrad_data,0.4252752675115813
245,ADAM12,-0.11166502279591232,tracketch_all_NOgrad_data,0.6018455179006045
246,ADAM15,-0.1274950645112069,tracketch_all_NOgrad_data,0.5399112690484846
247,ADAM17,-0.4564951937252504,tracketch_all_NOgrad_data,0.024150018783779773
248,ADAM18,0.08093219067612183,tracketch_all_NOgrad_data,0.6778819086380077
249,ADAM19,0.11636126346468352,tracketch_all_NOgrad_data,0.5562982647557363
250,ADAM2,0.13186079357626512,tracketch_all_NOgrad_data,0.511410836509022
251,ADAM20,-0.17517362103362216,tracketch_all_NOgrad_data,0.3959367184102757
252,ADAM21,-0.23872383847060183,tracketch_all_NOgrad_data,0.24238183282761494
253,ADAM22,-0.07070791486363988,tracketch_all_NOgrad_data,0.7420419370169881
254,ADAM23,-0.20156856619546695,tracketch_all_NOgrad_data,0.32521944327432106
255,ADAM28,-0.21790740009559956,tracketch_all_NOgrad_data,0.28543465442921917
256,ADAM29,0.24174495238619914,tracketch_all_NOgrad_data,0.24406991967499034
257,ADAM30,0.075868190732204,tracketch_all_NOgrad_data,0.6948435184591869
258,ADAM32,-0.11122464403782903,tracketch_all_NOgrad_data,0.5969844224095813
259,ADAM33,-0.2454401613438711,tracketch_all_NOgrad_data,0.22712346707426634
260,ADAM7,0.02355984201367327,tracketch_all_NOgrad_data,0.8926270761687735
261,ADAM8,0.14677400086975884,tracketch_all_NOgrad_data,0.4694865476996513
262,ADAM9,-0.0717004982299325,tracketch_all_NOgrad_data,0.7432281838409552
263,ADAMDEC1,-0.09131212190228159,tracketch_all_NOgrad_data,0.6683676436288737
264,ADAMTS1,-0.13709435868803105,tracketch_all_NOgrad_data,0.5085189165754845
265,ADAMTS10,0.4092273104472997,tracketch_all_NOgrad_data,0.05932176588030975
266,ADAMTS12,0.24354384537892088,tracketch_all_NOgrad_data,0.23977245902923153
267,ADAMTS13,0.07238695339555902,tracketch_all_NOgrad_data,0.7055985379889255
268,ADAMTS14,-0.05288112315262635,tracketch_all_NOgrad_data,0.8150701053023601
269,ADAMTS15,0.05420394101469646,tracketch_all_NOgrad_data,0.7753984126406555
270,ADAMTS16,-0.3015184710978641,tracketch_all_NOgrad_data,0.13800639508393045
271,ADAMTS17,-0.27297647636744166,tracketch_all_NOgrad_data,0.1774604456057639
272,ADAMTS18,0.1299472799025084,tracketch_all_NOgrad_data,0.5156180339637361
273,ADAMTS19,0.029140740015725915,tracketch_all_NOgrad_data,0.8684012712827172
274,ADAMTS2,-0.08428719511353222,tracketch_all_NOgrad_data,0.6973926520224274
275,ADAMTS20,-0.24248292492424872,tracketch_all_NOgrad_data,0.23406061595931918
276,ADAMTS3,0.09533820021420843,tracketch_all_NOgrad_data,0.6282678566509762
277,ADAMTS4,0.4469398996364116,tracketch_all_NOgrad_data,0.03930830801745548
278,ADAMTS5,-0.18817866131471203,tracketch_all_NOgrad_data,0.3602371891245583
279,ADAMTS6,0.003270978647184438,tracketch_all_NOgrad_data,0.9698739069858706
280,ADAMTS7,-0.1971588094899369,tracketch_all_NOgrad_data,0.337302177018943
281,ADAMTS8,-0.20773622398580477,tracketch_all_NOgrad_data,0.30952579324123025
282,ADAMTS9,0.055438727897483574,tracketch_all_NOgrad_data,0.7692415691240424
283,ADAMTSL1,0.08193906435370714,tracketch_all_NOgrad_data,0.6749496666115922
284,ADAMTSL2,0.10551798039559175,tracketch_all_NOgrad_data,0.5921791948785695
285,ADAMTSL3,-0.1775726243626505,tracketch_all_NOgrad_data,0.3895373593663777
286,ADAMTSL4,-0.34530080207080704,tracketch_all_NOgrad_data,0.08867343180700933
287,ADAMTSL5,0.03403739466898475,tracketch_all_NOgrad_data,0.8536193863570151
288,ADAP1,-0.2890955912742768,tracketch_all_NOgrad_data,0.1553328469744026
289,ADAP2,-0.26146998469944543,tracketch_all_NOgrad_data,0.20117294539140096
290,ADAR,0.0464107182548281,tracketch_all_NOgrad_data,0.8017141650394921
