,gene,log2fold_diff_mean,exp,pvalue
0,A1BG,-0.13493460893172,tracketch_all_data,0.332619567514948
1,A1CF,0.7059065134618356,tracketch_all_data,4.722057141846661e-05
2,A2M,-0.16964208631653138,tracketch_all_data,0.21764000231439096
3,A2ML1,-0.025054815922559606,tracketch_all_data,0.8802641281690675
4,A3GALT2,-0.22808313834032679,tracketch_all_data,0.09319465577782313
5,A4GALT,-0.02821283311107409,tracketch_all_data,0.8662950977711161
6,A4GNT,0.21700686795396412,tracketch_all_data,0.13392667373971234
7,AAAS,-0.056446606730251966,tracketch_all_data,0.7057009463886683
8,AACS,-0.03833711047543212,tracketch_all_data,0.8052318061251591
9,AADAC,0.09388241740403057,tracketch_all_data,0.48819288962157426
10,AADACL2,0.11937385115699913,tracketch_all_data,0.38447931717110495
11,AADACL3,0.016032657497264232,tracketch_all_data,0.8845483748277627
12,AADACL4,-0.14100797823794378,tracketch_all_data,0.3096404440113409
13,AADAT,-0.031475014420488834,tracketch_all_data,0.8471790250885519
14,AAED1,-0.4108271258795805,tracketch_all_data,0.001997158118326299
15,AAGAB,0.4626646861031582,tracketch_all_data,0.003092850266239978
16,AAK1,-0.1541302761342165,tracketch_all_data,0.2666948888929589
17,AAMDC,-0.04182916467790134,tracketch_all_data,0.7874134247015764
18,AAMP,-0.10300408817474503,tracketch_all_data,0.46362381255687296
19,AANAT,-0.03003313715300083,tracketch_all_data,0.8533178936962917
20,AAR2,0.07266513490976646,tracketch_all_data,0.5809089270150201
21,AARD,-0.23386456693902224,tracketch_all_data,0.08494096626988917
22,AARS,0.4127362865862384,tracketch_all_data,0.007231257258887609
23,AARS2,-0.5801782122606658,tracketch_all_data,2.8371207518914098e-05
24,AARSD1,-0.38963169388009355,tracketch_all_data,0.00462198062217378
25,AASDH,-0.2051729893186032,tracketch_all_data,0.13261071608684874
26,AASDHPPT,0.0870434755578204,tracketch_all_data,0.5173438195389105
27,AASS,-0.06504611233964169,tracketch_all_data,0.6550788420796891
28,AATF,-0.22246058168478755,tracketch_all_data,0.10467236380593725
29,AATK,0.028324086893223577,tracketch_all_data,0.8168733287281941
30,ABAT,0.043791824507856944,tracketch_all_data,0.7311731411721651
31,ABCA1,-0.30193409899961815,tracketch_all_data,0.025104632187455563
32,ABCA10,-0.20798500357041189,tracketch_all_data,0.1264625199588287
33,ABCA12,0.21029818463548883,tracketch_all_data,0.14337962973533794
34,ABCA13,-0.10460300349384079,tracketch_all_data,0.458857546855365
35,ABCA2,-0.1965563095634764,tracketch_all_data,0.15434811345315538
36,ABCA3,-0.08481335045987767,tracketch_all_data,0.5544951384915718
37,ABCA4,0.05145377952917282,tracketch_all_data,0.6902615684448823
38,ABCA5,-0.11028209773587941,tracketch_all_data,0.43467410445724786
39,ABCA6,0.03212686573530592,tracketch_all_data,0.7939525993880078
40,ABCA7,-0.18724076093669728,tracketch_all_data,0.171208189329618
41,ABCA8,-0.10520947700377085,tracketch_all_data,0.4585215618019389
42,ABCA9,-0.05008818348379481,tracketch_all_data,0.7374622217210839
43,ABCB1,0.050442607623850104,tracketch_all_data,0.6927235479905047
44,ABCB10,-0.07780439080068627,tracketch_all_data,0.5892876635917104
45,ABCB11,0.009501654897560802,tracketch_all_data,0.9205102406213606
46,ABCB4,-0.05144527881343756,tracketch_all_data,0.7293978031455022
47,ABCB5,0.04675375927246246,tracketch_all_data,0.7152634035859166
48,ABCB6,-0.30715649724869554,tracketch_all_data,0.022011879082885173
49,ABCB7,-0.26264212115648156,tracketch_all_data,0.052710302911706905
50,ABCB8,0.15541031306195105,tracketch_all_data,0.2684820806433113
51,ABCB9,-0.12470415843589909,tracketch_all_data,0.3732784227396394
52,ABCC1,-0.03716423097736245,tracketch_all_data,0.8126048222599717
