,gene,log2fold_diff_mean,exp,pvalue
0,A1BG,0.03429145010508467,differentiation,0.8934545049469621
1,A1CF,0.0698922852787142,differentiation,0.626705788489053
2,A2M,0.03442265352194579,differentiation,0.8964350363231615
3,A2ML1,-0.02662944645180737,differentiation,0.23287038550689898
4,A3GALT2,0.17743898920136061,differentiation,0.018360640701538346
5,A4GALT,0.09530772482106899,differentiation,0.351205914774933
6,A4GNT,-0.044564820598302406,differentiation,0.13330309014431374
7,AAAS,-0.07538680352437364,differentiation,0.04299695364159266
8,AACS,-0.0762441794991152,differentiation,0.041028069569115685
9,AADAC,-0.015534988459469332,differentiation,0.31437989309204334
10,AADACL2,0.00626872694053203,differentiation,0.5301536140570394
11,AADACL3,0.01939350921079103,differentiation,0.6914780325480905
12,AADACL4,0.033875701055054074,differentiation,0.89115177337779
13,AADAT,-0.01176071652325906,differentiation,0.34888083602175624
14,AAED1,0.014037425406658236,differentiation,0.6260908522822475
15,AAGAB,0.0658843147873818,differentiation,0.6771139428016052
16,AAK1,-0.03664367480312156,differentiation,0.1698339346750032
17,AAMDC,0.024437676772000136,differentiation,0.760344572201784
18,AAMP,0.09421485493281885,differentiation,0.36362939449479065
19,AANAT,0.01826669435107663,differentiation,0.6793350585683258
20,AAR2,-0.08306616749794667,differentiation,0.04013019858047772
21,AARD,0.0018012734507282246,differentiation,0.4824590880143356
22,AARS,-0.002343902712229534,differentiation,0.439386445432136
23,AARS2,0.2626305382128027,differentiation,0.001980543472827209
24,AARSD1,-0.008658092731377668,differentiation,0.37723426295513623
25,AASDH,0.0640414164771678,differentiation,0.6985491673755015
26,AASDHPPT,0.045347469218580634,differentiation,0.952856137719671
27,AASS,0.0028364995446966044,differentiation,0.4942786107960509
28,AATF,0.011095565520922869,differentiation,0.5890538926146881
29,AATK,0.021478455590890667,differentiation,0.719849628713683
30,ABAT,0.07106054375277425,differentiation,0.613692148788134
31,ABCA1,-0.04968291558475304,differentiation,0.11517058504296174
32,ABCA10,-0.006325185420091667,differentiation,0.3978381722840605
33,ABCA12,0.0501982435363748,differentiation,0.8865120121700821
34,ABCA13,0.06068344342544283,differentiation,0.7445927223286115
35,ABCA2,0.14458092848896495,differentiation,0.07236154207034709
36,ABCA3,0.06019365684018783,differentiation,0.7527962764150394
37,ABCA4,0.0937663920255049,differentiation,0.36430602836178283
38,ABCA5,0.014020408576535533,differentiation,0.6252473918285772
39,ABCA6,-0.0396753775086971,differentiation,0.15704532140084393
40,ABCA7,0.08251308742211676,differentiation,0.47709168306310323
41,ABCA8,0.021000462277856107,differentiation,0.715172168778176
42,ABCA9,-0.01882268252071477,differentiation,0.288586578990567
43,ABCB1,0.0557815000768439,differentiation,0.8093298910249288
44,ABCB10,-0.05713096378832311,differentiation,0.08656959017547834
45,ABCB11,0.06945505719755977,differentiation,0.6297496692738219
46,ABCB4,0.0758907306798375,differentiation,0.5511622989014562
47,ABCB5,0.14301466620222936,differentiation,0.07742959191758708
48,ABCB6,0.046121633706994035,differentiation,0.9416047192200211
49,ABCB7,-0.04590964511435277,differentiation,0.12831238098606365
50,ABCB8,-0.03942615357416177,differentiation,0.15636198337865034
51,ABCB9,-0.0055773279793965335,differentiation,0.40393924500233164
52,ABCC1,-0.17386226254356255,differentiation,0.00028147735678867855
53,ABCC10,0.1258052252345935,differentiation,0.14191161406957328
54,ABCC11,-0.0645881247937394,differentiation,0.06541934077847582
55,ABCC12,-0.024340009724821834,differentiation,0.24949698189134809
56,ABCC2,0.058219955501425835,differentiation,0.7768674970847855
57,ABCC3,0.006664141834914435,differentiation,0.5379698817285002
58,ABCC4,0.02895003743715477,differentiation,0.8187627345549502
59,ABCC5,0.12802108054307423,differentiation,0.13228920812219092
60,ABCC6,0.029728716764058097,differentiation,0.8300073517377292
61,ABCC8,0.14632879293649306,differentiation,0.06793893719416239
62,ABCC9,0.04856979729961053,differentiation,0.9114519553275905
63,ABCD1,0.10967344400781875,differentiation,0.2374675899033285
64,ABCD2,0.049616539060659964,differentiation,0.8970812585875735
65,ABCD3,0.01851282224051018,differentiation,0.6865714653957014
66,ABCD4,0.117510290296138,differentiation,0.18660384452209064
67,ABCE1,-0.2163570338398563,differentiation,0.00013000231390516116
68,ABCF1,-0.0018322564144440643,differentiation,0.44542319712514167
69,ABCF2,0.6427429855128258,differentiation,
