,gene,log2fold_diff_mean,exp,pvalue
0,A1BG,0.12602660171142552,growth,0.11082911016088078
1,A1CF,-0.032875316019242,growth,0.3166634838123072
2,A2M,0.1295892933855345,growth,0.09812871968270497
3,A2ML1,0.12842097673942643,growth,0.10503254211509004
4,A3GALT2,-0.0227960838395867,growth,0.39733419470392145
5,A4GALT,0.013121184549332166,growth,0.7880019329342547
6,A4GNT,-0.006996711605816376,growth,0.5524766048059369
7,AAAS,-0.34622040129335846,growth,0.00013077960726184376
8,AACS,-0.018396839927895498,growth,0.4377530606047371
9,AADAC,0.03767910110633477,growth,0.8935340803543524
10,AADACL2,0.022899768224349065,growth,0.9160370145153219
11,AADACL3,-0.1125775185090362,growth,0.032366786857271304
12,AADACL4,0.014203611682968168,growth,0.8011690880731185
13,AADAT,-0.035096178074836504,growth,0.29800533407849855
14,AAED1,0.008184054521709902,growth,0.7251387213592295
15,AAGAB,-0.10411914920591207,growth,0.04326307945458686
16,AAK1,-0.1263530552445081,growth,0.021454365422804593
17,AAMDC,0.1206193842491972,growth,0.1337098088931979
18,AAMP,-0.23882502678599182,growth,0.0022441430824121883
19,AANAT,0.1828333810438109,growth,0.011059718525558062
20,AAR2,-0.10531329831997131,growth,0.04477792704509161
21,AARD,0.049680623978900766,growth,0.73998191529844
22,AARS,-0.6313170123260522,growth,9.716166958532225e-08
23,AARS2,-0.521376992415231,growth,7.899243737286699e-05
24,AARSD1,-0.03638209730823257,growth,0.29097685322403555
25,AASDH,-0.03964072433374943,growth,0.26622705545390557
26,AASDHPPT,-0.031272256394805936,growth,0.32806530857647515
27,AASS,0.005297291156065438,growth,0.6913745553699822
28,AATF,-0.4508439364309033,growth,1.1270753671897381e-05
29,AATK,0.0028704637349533674,growth,0.6636951389385156
30,ABAT,0.03919250070490943,growth,0.8746632437258216
31,ABCA1,-0.1518172349714877,growth,0.01564934431175993
32,ABCA10,0.10154697453147192,growth,0.23454282932547113
33,ABCA12,0.13406575336571866,growth,0.08449033044635246
34,ABCA13,0.019011750404464997,growth,0.8631583304302236
35,ABCA2,-0.06047419334854451,growth,0.15881201203891382
36,ABCA3,0.0209004760553738,growth,0.88962176856683
37,ABCA4,0.11885394966640724,growth,0.14189004417892534
38,ABCA5,-0.039719156527231236,growth,0.2670654635007573
