,Unnamed: 0,gene,log2fold_diff_mean,exp,pvalue
0,0,A1BG,0.1260266017114255,growth,0.1108291101608807
1,1,A1CF,-0.032875316019242,growth,0.3166634838123072
2,2,A2M,0.1295892933855345,growth,0.0981287196827049
3,3,A2ML1,0.1284209767394264,growth,0.10503254211509
4,4,A3GALT2,-0.0227960838395866,growth,0.3973341947039214
5,5,A4GALT,0.0131211845493321,growth,0.7880019329342547
6,6,A4GNT,-0.0069967116058163,growth,0.5524766048059369
7,7,AAAS,-0.3462204012933584,growth,0.0001307796072618
8,8,AACS,-0.0183968399278954,growth,0.4377530606047371
9,9,AADAC,0.0376791011063347,growth,0.8935340803543524
10,10,AADACL2,0.0228997682243491,growth,0.916037014515322
11,11,AADACL3,-0.1125775185090362,growth,0.0323667868572713
12,12,AADACL4,0.0142036116829681,growth,0.8011690880731185
13,13,AADAT,-0.0350961780748365,growth,0.2980053340784985
14,14,AAED1,0.0081840545217099,growth,0.7251387213592295
15,15,AAGAB,-0.104119149205912,growth,0.0432630794545868
16,16,AAK1,-0.126353055244508,growth,0.0214543654228045
17,17,AAMDC,0.1206193842491971,growth,0.1337098088931979
18,18,AAMP,-0.2388250267859918,growth,0.0022441430824121
19,19,AANAT,0.1828333810438108,growth,0.011059718525558
20,20,AAR2,-0.1053132983199712,growth,0.0447779270450916
21,21,AARD,0.0496806239789007,growth,0.73998191529844
22,22,AARS,-0.6313170123260522,growth,9.716166958532225e-08
23,23,AARS2,-0.521376992415231,growth,7.899243737286699e-05
24,24,AARSD1,-0.0363820973082325,growth,0.2909768532240355
25,25,AASDH,-0.0396407243337494,growth,0.2662270554539055
26,26,AASDHPPT,-0.0312722563948059,growth,0.3280653085764751
27,27,AASS,0.0052972911560654,growth,0.6913745553699822
28,28,AATF,-0.4508439364309032,growth,1.127075367189738e-05
29,29,AATK,0.0028704637349533,growth,0.6636951389385156
30,30,ABAT,0.0391925007049094,growth,0.8746632437258216
31,31,ABCA1,-0.1518172349714877,growth,0.0156493443117599
32,32,ABCA10,0.1015469745314718,growth,0.2345428293254711
33,33,ABCA12,0.1340657533657185,growth,0.0844903304463524
34,34,ABCA13,0.0190117504044649,growth,0.8631583304302236
35,35,ABCA2,-0.0604741933485445,growth,0.1588120120389138
36,36,ABCA3,0.0209004760553737,growth,0.88962176856683
37,37,ABCA4,0.1188539496664072,growth,0.1418900441789253
38,38,ABCA5,-0.0397191565272311,growth,0.2670654635007573
39,39,ABCA6,-0.1435360938289029,growth,0.0118031024595553
40,40,ABCA7,0.0543696292587976,growth,0.6803559362306587
41,41,ABCA8,0.0591560380653715,growth,0.6257564218155348
42,42,ABCA9,-0.0763135745167086,growth,0.0987923338859727
43,43,ABCB1,0.1257363676911267,growth,0.1133229587341272
44,44,ABCB10,0.0185547447504778,growth,0.8595648060806105
45,45,ABCB11,0.0827663472451211,growth,0.3799512918834202
46,46,ABCB4,0.0015079002978824,growth,0.6456133522286871
47,47,ABCB5,0.0443263775993267,growth,0.8077079712745411
48,48,ABCB6,0.0033505046772353,growth,0.6694551741965422
49,49,ABCB7,-0.1547135862643697,growth,0.012263357288381
50,50,ABCB8,0.0223482045334553,growth,0.905873709553358
51,51,ABCB9,0.073030255725664,growth,0.4726660661751614
52,52,ABCC1,0.039618152875844,growth,0.866660425648757
53,53,ABCC10,0.0044532008912501,growth,0.6821421563643153
54,54,ABCC11,-0.0393317316305736,growth,0.2724431675889657
55,55,ABCC12,0.0479092131661493,growth,0.7641213434602351
56,56,ABCC2,-0.0245645708317485,growth,0.3826068174748566
57,57,ABCC3,0.1064291215190772,growth,0.2053935511565177
58,58,ABCC4,0.0421605093673954,growth,0.8372210227344219
59,59,ABCC5,0.0727473850042926,growth,0.475403790539067
60,60,ABCC6,0.0605101173009803,growth,0.6113802840220209
61,61,ABCC8,-0.0019554876959637,growth,0.6046130708970728
62,62,ABCC9,0.0297317708498097,growth,0.99948101094191
63,63,ABCD1,0.0476156926139376,growth,0.7624594902636477
64,64,ABCD2,0.0529338779893546,growth,0.7000333118784173
65,65,ABCD3,0.0041759332849179,growth,0.6797930786787509
66,66,ABCD4,0.0298185202545922,growth,0.99798141773353
67,67,ABCE1,-0.1756289984255712,growth,0.0054919662116407
68,68,ABCF1,0.0061992179965995,growth,0.7028273900106824
69,69,ABCF2,-0.0302142106102192,growth,0.3345439515427548
70,70,ABCF3,0.0235858423138692,growth,0.9224688255568616
71,71,ABCG1,0.0160670073275165,growth,0.8270109830093875
72,72,ABCG2,-0.0669814473490666,growth,0.1295241813291318
73,73,ABCG4,0.0125759751921843,growth,0.7820610798091298
74,74,ABCG5,-0.0446953324682085,growth,0.234240365048052
75,75,ABCG8,-0.0930877469260033,growth,0.0599176583998765
76,76,ABHD1,-0.0231872623916612,growth,0.3925718154691968
77,77,ABHD10,-0.0512943897868033,growth,0.1974494187278826
